scenario,date,period,original,final
3,2025-09-23,12:00-12:10,424.77578082614315,404.5281047744816
3,2025-09-23,14:00-14:10,0.0,0.0
3,2025-09-23,16:00-16:10,499.8626282914934,499.8626282914934
3,2025-09-23,18:00-18:10,734.7065603807627,738.4845117840123
3,2025-09-23,20:00-20:10,12.339992729175833,12.339992729175833
3,2025-12-21,10:00-10:10,0.0,0.0
3,2025-12-21,12:00-12:10,905.6010614906293,916.8348726514537
3,2025-12-21,14:00-14:10,0.0,0.0
3,2025-12-21,16:00-16:10,749.1520729334816,749.1520729334816
3,2025-12-21,18:00-18:10,0.0,11.930881329126352
3,2025-12-21,20:00-20:10,0.0,0.0
4-2,2025-03-20,10:00-10:10,0.0,0.0
4-2,2025-03-20,12:00-12:10,513.2740926617806,513.2740926617806
4-2,2025-03-20,14:00-14:10,0.0,0.0
4-2,2025-03-20,16:00-16:10,418.33254736179924,418.33254736179924
4-2,2025-03-20,18:00-18:10,0.0,0.0
4-2,2025-03-20,20:00-20:10,744.493158772926,744.493158772926
4-2,2025-06-21,10:00-10:10,0.0,0.0
4-2,2025-06-21,12:00-12:10,0.0,0.0
4-2,2025-06-21,14:00-14:10,0.0,0.0
4-2,2025-06-21,16:00-16:10,121.6611187451975,121.6611187451975
4-2,2025-06-21,18:00-18:10,0.0,0.0
4-2,2025-06-21,20:00-20:10,47.50631358747564,47.50631358747564
4-2,2025-09-23,10:00-10:10,0.0,0.0
4-2,2025-09-23,12:00-12:10,572.5261871190613,572.5261871190613
4-2,2025-09-23,14:00-14:10,0.0,0.0
4-2,2025-09-23,16:00-16:10,476.7551160160671,476.7551160160671
4-2,2025-09-23,18:00-18:10,749.3904495843773,749.3904495843773
4-2,2025-09-23,20:00-20:10,3.585868115688868,3.585868115688868
4-2,2025-12-21,10:00-10:10,25.091749482350693,25.091749482350693
4-2,2025-12-21,12:00-12:10,880.8340686168674,880.8340686168674
4-2,2025-12-21,14:00-14:10,0.0,0.0
4-2,2025-12-21,16:00-16:10,772.7295776422784,772.7295776422784
4-2,2025-12-21,18:00-18:10,721.4907048000678,721.4907048000678
4-2,2025-12-21,20:00-20:10,0.0,0.0
4-3,2025-03-20,10:00-10:10,0.0,0.0
4-3,2025-03-20,12:00-12:10,513.2863387201191,513.2863387201191
4-3,2025-03-20,14:00-14:10,0.0,0.0
4-3,2025-03-20,16:00-16:10,501.55475538490595,509.36805895316434
4-3,2025-03-20,18:00-18:10,0.0,0.0
4-3,2025-03-20,20:00-20:10,728.3676011031631,728.3676011031631
4-3,2025-06-21,10:00-10:10,0.0,0.0
4-3,2025-06-21,12:00-12:10,0.0,0.0
4-3,2025-06-21,14:00-14:10,0.0,0.0
4-3,2025-06-21,16:00-16:10,113.76144864713638,113.76144864713638
4-3,2025-06-21,18:00-18:10,0.0,0.0
4-3,2025-06-21,20:00-20:10,0.0,0.0
4-3,2025-09-23,10:00-10:10,0.0,0.0
4-3,2025-09-23,12:00-12:10,424.77578082614315,424.77578082614315
4-3,2025-09-23,14:00-14:10,0.0,0.0
4-3,2025-09-23,16:00-16:10,499.8626282914934,503.7568426775676
4-3,2025-09-23,18:00-18:10,734.7065603807627,738.4845117840123
4-3,2025-09-23,20:00-20:10,12.339992729175833,12.339992729175833
4-3,2025-12-21,10:00-10:10,0.0,0.0
4-3,2025-12-21,12:00-12:10,919.0079549324265,919.0079549324265
4-3,2025-12-21,14:00-14:10,0.0,0.0
4-3,2025-12-21,16:00-16:10,741.4485818022544,741.4485818022544
4-3,2025-12-21,18:00-18:10,701.590363739898,702.8099663886296
4-3,2025-12-21,20:00-20:10,0.0,0.0
