name,label,month,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,charge_kwh,discharge_kwh,date
cost_only,exp006 仅费用,3,1162018.18762509,1098821.85188623,63196.3357388549,1855938.18202593,14692.1351330047,565466.713560803,509122.842010919,2025-03-01
cost_only,exp006 仅费用,4,977624.763661486,942089.699857077,35535.0638044084,1623965.00966992,8707.27241216115,502711.847524442,452470.464733501,2025-04-01
cost_only,exp006 仅费用,5,1035699.82121173,943444.525576958,92255.2956347764,1602167.5720095,20120.3573204275,478956.733932688,430039.073325599,2025-05-01
cost_only,exp006 仅费用,6,1437562.8824427,1263572.13992027,173990.742522433,2047188.26601631,38551.7941008698,516847.285782829,465920.146657251,2025-06-01
cost_only,exp006 仅费用,7,1619973.68890281,1476891.81532597,143081.873576838,2363359.45413562,35332.44503551,522137.51502082,470154.303526177,2025-07-01
cost_only,exp006 仅费用,8,1332516.17055711,1272820.08234941,59696.088207692,2050053.12828638,13965.683869062,506282.207014283,455625.314225415,2025-08-01
cost_only,exp006 仅费用,9,1168820.57307118,1118504.71458681,50315.8584843681,1813106.72518549,11214.654907774,508458.089190583,457404.860870207,2025-09-01
cost_only,exp006 仅费用,10,1142621.10987124,1109198.36457602,33422.7452952246,1839691.73656018,7631.0888428048,566260.273119233,509583.890217042,2025-10-01
cost_only,exp006 仅费用,11,1274505.48477738,1193420.4443295,81085.0404478764,1960047.89706876,18253.7960597309,614049.429319091,552969.850403941,2025-11-01
cost_only,exp006 仅费用,12,1676496.47609604,1610345.5757811,66150.9003149432,2589467.45139978,16365.8510134291,698249.153590444,628447.582269804,2025-12-01
fixed_primary_greedy,exp006 固定购电·旧执行,2,1193136.3696423,1186789.03754675,6347.33209555226,1957833.43507572,1259.95247053268,578772.988149732,520224.473519829,2025-02-01
fixed_primary_greedy,exp006 固定购电·旧执行,3,1112363.32127298,1098775.05238909,13588.2688838958,1855813.59312822,2454.82468878629,579202.25171512,521218.524375891,2025-03-01
fixed_primary_greedy,exp006 固定购电·旧执行,4,944849.150296312,942115.882761373,2733.2675349395,1624015.40823023,560.742771164047,511364.698230584,460464.520849499,2025-04-01
fixed_primary_greedy,exp006 固定购电·旧执行,5,1000339.6260257,943396.687167485,56942.9388582154,1601984.21979915,10368.1340936226,489683.572731432,439230.662206687,2025-05-01
fixed_primary_greedy,exp006 固定购电·旧执行,6,1399199.47991533,1263562.84584437,135636.63407095,2047121.27814009,24056.3027179744,532046.810211517,480208.155068166,2025-06-01
fixed_primary_greedy,exp006 固定购电·旧执行,7,1600880.32634156,1476861.67059379,124018.655747774,2363271.75165495,23248.1903389609,535910.604426477,482167.719040365,2025-07-01
fixed_primary_greedy,exp006 固定购电·旧执行,8,1280346.79367815,1272784.30751246,7562.48616568141,2049918.62509339,1337.24564672681,520258.076158129,468013.006946133,2025-08-01
fixed_primary_greedy,exp006 固定购电·旧执行,9,1126078.41959953,1118504.84873909,7573.57086044769,1813107.04098652,1243.56352067361,519144.067432694,467375.952257307,2025-09-01
fixed_primary_greedy,exp006 固定购电·旧执行,10,1109856.59258171,1109201.45508812,655.137493593119,1839680.7026099,93.9130581412154,574625.577849725,517011.204667458,2025-10-01
fixed_primary_greedy,exp006 固定购电·旧执行,11,1210657.24690127,1193423.96011726,17233.2867840174,1960010.93674424,3480.63308707375,629830.400338592,567455.011079136,2025-11-01
fixed_primary_greedy,exp006 固定购电·旧执行,12,1638260.32991084,1610375.70149893,27884.6284119059,2589487.44363361,5745.47282388596,709360.636996014,638613.180529986,2025-12-01
greedy_execution,exp006 旧执行·重新规划,2,1188173.45148551,1182040.36378361,6133.08770189795,1946748.91628841,1206.2863464536,578719.268095514,520176.125471034,2025-02-01
greedy_execution,exp006 旧执行·重新规划,3,1108900.13932967,1094369.1177261,14531.0216035729,1845577.55588813,2601.75801753258,579296.781626834,521303.601296434,2025-03-01
greedy_execution,exp006 旧执行·重新规划,4,939810.285552828,936243.048815251,3567.23673757654,1610320.82239511,734.049141368199,510905.516277041,460051.25709131,2025-04-01
greedy_execution,exp006 旧执行·重新规划,5,992438.835827738,935322.496504087,57116.339323651,1583321.69569615,10409.1527853684,492458.956495298,441728.507594166,2025-05-01
greedy_execution,exp006 旧执行·重新规划,6,1390800.30978344,1252684.06394139,138116.245842046,2021997.68476414,24499.2076180472,534779.641124987,482667.702890289,2025-06-01
greedy_execution,exp006 旧执行·重新规划,7,1589603.25697761,1465757.95439578,123845.302581828,2337333.06672721,23205.9430235001,536018.983791554,482265.260468935,2025-07-01
greedy_execution,exp006 旧执行·重新规划,8,1273636.18470071,1266001.67011806,7634.51458265579,2034175.50799054,1347.90961477165,521037.69423968,468714.66321953,2025-08-01
greedy_execution,exp006 旧执行·重新规划,9,1112771.47936383,1105256.51081932,7514.96854451256,1782351.51776742,1231.48056893441,522638.863624267,470521.268829723,2025-09-01
greedy_execution,exp006 旧执行·重新规划,10,1100470.35798538,1099815.22049179,655.137493593119,1817819.4589431,93.9130581412154,574770.082108949,517173.093201092,2025-10-01
greedy_execution,exp006 旧执行·重新规划,11,1205103.14049307,1187825.93854489,17277.2019481865,1947042.1332831,3489.76035384133,630021.953467723,567598.383395407,2025-11-01
greedy_execution,exp006 旧执行·重新规划,12,1632489.28581592,1602500.07156521,29989.214250706,2571533.64704273,6156.83723118878,709405.163815874,638650.445467475,2025-12-01
more_throughput_penalty,exp006 较强吞吐惩罚,2,1244391.1855362,1187308.11286205,57083.0726741504,1956330.85910282,13673.4300017731,543372.440188735,488752.267108418,2025-02-01
more_throughput_penalty,exp006 较强吞吐惩罚,3,1163074.44964918,1099171.43943993,63903.0102092467,1854391.77461646,14871.5691773561,546444.274714601,492042.568070204,2025-03-01
more_throughput_penalty,exp006 较强吞吐惩罚,4,978419.8922397,942694.977761806,35724.9144778938,1622993.6389851,8755.82448081918,483923.889501131,435495.879990355,2025-04-01
more_throughput_penalty,exp006 较强吞吐惩罚,5,1034281.31924647,943882.741412708,90398.5778337588,1600562.69404148,19820.4198818967,458464.136775476,411640.372009543,2025-05-01
more_throughput_penalty,exp006 较强吞吐惩罚,6,1438683.31302108,1264039.06957868,174644.243442397,2045394.66429749,38928.798398126,494306.347073434,445607.198833566,2025-06-01
more_throughput_penalty,exp006 较强吞吐惩罚,7,1621530.59082773,1477582.86417098,143947.726656747,2361829.97712306,35618.0253184152,498409.801973491,448796.697764845,2025-07-01
more_throughput_penalty,exp006 较强吞吐惩罚,8,1333856.6253747,1273370.41091624,60486.2144584658,2048203.7074489,14195.6842335906,481567.761221294,433398.771667199,2025-08-01
more_throughput_penalty,exp006 较强吞吐惩罚,9,1170055.83488891,1119433.61746626,50622.2174226518,1812725.19770938,11287.7518019191,488882.493062669,439796.984174824,2025-09-01
more_throughput_penalty,exp006 较强吞吐惩罚,10,1143716.84083071,1109792.31819872,33924.5226319906,1838720.36334949,7769.45292821815,547878.170869706,493016.306824345,2025-10-01
more_throughput_penalty,exp006 较强吞吐惩罚,11,1275661.90918224,1193960.34146133,81701.5677209143,1958370.88783947,18398.4970694583,590808.13326511,532113.874560459,2025-11-01
more_throughput_penalty,exp006 较强吞吐惩罚,12,1676155.88222311,1611012.53266317,65143.3495599408,2588721.85534603,16196.7815913833,679755.000700185,611697.764465705,2025-12-01
no_deadband,exp006 无死区,2,1243499.67867211,1186789.03754675,56710.6411253624,1957833.43507572,13539.5037067558,564725.947607054,507944.922283606,2025-02-01
no_deadband,exp006 无死区,3,1162109.13577124,1098775.05238909,63334.0833821566,1855813.59312822,14728.612233159,565268.818917025,508944.736831519,2025-03-01
no_deadband,exp006 无死区,4,977639.195877847,942104.132073439,35535.0638044084,1623970.74330795,8707.27241216115,502473.371020311,452255.835879783,2025-04-01
no_deadband,exp006 无死区,5,1033534.22807222,943396.687167485,90137.5409047326,1601984.21979915,19685.1626887917,478817.356472598,429913.633611518,2025-05-01
no_deadband,exp006 无死区,6,1434168.91210152,1263562.66261232,170606.249489199,2047120.84680286,38068.3384218525,517152.712423464,466196.119364288,2025-06-01
no_deadband,exp006 无死区,7,1620002.94223297,1476861.67059379,143141.271639181,2363271.75165495,35346.5170711282,522044.378923583,470069.392308198,2025-07-01
no_deadband,exp006 无死区,8,1332531.11385531,1272784.30751246,59746.8063428485,2049918.62509339,13963.1764581322,506017.49802463,455387.076134728,2025-08-01
no_deadband,exp006 无死区,9,1168820.57307118,1118504.71458681,50315.8584843681,1813106.72518549,11214.654907774,508458.089190583,457404.860870207,2025-09-01
no_deadband,exp006 无死区,10,1142624.20038334,1109201.45508812,33422.745295225,1839680.7026099,7631.08884280485,566138.20497007,509474.028882795,2025-10-01
no_deadband,exp006 无死区,11,1274520.33475428,1193423.96011726,81096.3746370187,1960010.93674424,18258.8191466193,613702.52499678,552676.825019591,2025-11-01
no_deadband,exp006 无死区,12,1676504.54015583,1610375.70149893,66128.8386568986,2589487.44363361,16355.6159598258,697775.273485316,628003.037394046,2025-12-01
no_tree,exp006 无条件树,2,1249841.8484572,1171086.2299854,78755.6184717911,1934436.22235788,18755.3637625887,566539.768630848,509591.435571418,2025-02-01
no_tree,exp006 无条件树,3,1171459.65920419,1091506.88264585,79952.7765583353,1840318.51144762,17795.8389994636,562814.174335427,506758.997610477,2025-03-01
no_tree,exp006 无条件树,4,986105.138880605,941242.907187918,44862.2316926871,1621234.85765702,10438.322957646,501328.292639223,451218.047870113,2025-04-01
no_tree,exp006 无条件树,5,1047052.22499302,959129.885718077,87922.3392749379,1623609.4060241,19787.4389793583,474337.712728097,426087.182537962,2025-05-01
no_tree,exp006 无条件树,6,1442821.66402523,1301793.93111291,141027.732912321,2101837.3857236,32020.8265813666,510734.784315035,459823.870075564,2025-06-01
no_tree,exp006 无条件树,7,1656708.82057405,1507503.34414605,149205.476427997,2396682.18750983,36132.5671335336,506872.422584283,456420.407025075,2025-07-01
no_tree,exp006 无条件树,8,1332453.66474711,1260034.78637299,72418.878374121,2029242.5082606,16936.0792749909,509273.521955766,458646.549084523,2025-08-01
no_tree,exp006 无条件树,9,1194729.12896096,1131856.44419417,62872.6847667831,1839608.55056589,14167.4829035643,504553.968973124,454055.252002979,2025-09-01
no_tree,exp006 无条件树,10,1153260.87915091,1120009.40522925,33251.4739216676,1856614.32067844,7912.09933005946,564158.869867922,507528.436749095,2025-10-01
no_tree,exp006 无条件树,11,1277171.00412634,1204739.28114771,72431.7229786347,1977714.12634706,17336.3457850741,612538.692857951,551699.032512247,2025-11-01
no_tree,exp006 无条件树,12,1683613.26672097,1625216.26196831,58397.0047526555,2609910.87139136,14537.6439198747,693945.151717674,624571.699472537,2025-12-01
primary,exp006 正式·树DP,2,1243519.02879389,1186789.03754675,56729.9912471405,1957833.43507572,13543.2934302181,564721.736803208,507941.132560144,2025-02-01
primary,exp006 正式·树DP,3,1162130.43267895,1098775.05238909,63355.3802898641,1855813.59312822,14732.7748440337,565264.19379383,508940.574220644,2025-03-01
primary,exp006 正式·树DP,4,977869.51323673,942115.882761373,35753.6304753575,1624015.40823023,8753.61125213239,502490.944896697,452271.65236853,2025-04-01
primary,exp006 正式·树DP,5,1033541.68700552,943396.687167485,90144.9998380326,1601984.21979915,19686.9592387917,478815.360305931,429911.837061518,2025-05-01
primary,exp006 正式·树DP,6,1434185.51800298,1263562.84584437,170622.672158605,2047121.27814009,38071.6108159362,517149.076430037,466192.846970204,2025-06-01
primary,exp006 正式·树DP,7,1620008.12109356,1476861.67059379,143146.45049977,2363271.75165495,35347.599495747,522043.176229562,470068.309883579,2025-07-01
primary,exp006 正式·树DP,8,1332531.11385531,1272784.30751246,59746.8063428485,2049918.62509339,13963.1764581322,506017.49802463,455387.076134728,2025-08-01
primary,exp006 正式·树DP,9,1168821.48436684,1118504.84873909,50316.6356277514,1813107.04098652,11214.7974244407,508457.930838731,457404.71835354,2025-09-01
primary,exp006 正式·树DP,10,1142625.70331291,1109201.45508812,33424.2482247895,1839680.7026099,7631.52453770687,566137.720864623,509473.593187893,2025-10-01
primary,exp006 正式·树DP,11,1274520.33475428,1193423.96011726,81096.3746370187,1960010.93674424,18258.8191466193,613702.52499678,552676.825019591,2025-11-01
primary,exp006 正式·树DP,12,1676504.54015583,1610375.70149893,66128.8386568986,2589487.44363361,16355.6159598258,697775.273485316,628003.037394046,2025-12-01
primary_grid25,exp006 正式·25kWh,2,1242027.60172108,1183473.19846241,58554.4032586733,1958129.71953605,13928.1047359964,568091.849085904,511075.655713228,2025-02-01
primary_grid25,exp006 正式·25kWh,3,1160463.57945202,1094827.15984106,65636.4196109589,1854373.25641088,15245.0379444915,568702.894543515,511941.860055448,2025-03-01
primary_grid25,exp006 正式·25kWh,4,976507.926780204,939940.099081823,36567.827698381,1623954.18247168,8926.365021862,505005.233020343,454530.582495561,2025-04-01
primary_grid25,exp006 正式·25kWh,5,1032202.91241323,942530.973528565,89671.938884665,1602409.78404477,19652.4370369804,480743.930512509,431648.258859307,2025-05-01
primary_grid25,exp006 正式·25kWh,6,1431710.42618362,1260706.33359322,171004.092590397,2048348.76029258,38253.0067406807,524083.425219942,472520.45196807,2025-06-01
primary_grid25,exp006 正式·25kWh,7,1617408.18284249,1473457.13053816,143951.052304334,2363762.13126701,35613.2518263559,528201.970471449,475570.155882525,2025-07-01
primary_grid25,exp006 正式·25kWh,8,1331856.5209992,1271588.65658501,60267.8644141903,2050514.89240284,14120.3795371174,510155.41350408,459134.874771426,2025-08-01
primary_grid25,exp006 正式·25kWh,9,1167504.7121383,1116802.42972752,50702.2824107777,1812789.9809997,11327.7989117182,511592.058993449,460158.953363428,2025-09-01
primary_grid25,exp006 正式·25kWh,10,1140877.24960351,1106431.42162231,34445.8279811965,1838546.75086707,7859.68737592195,568919.820413023,511986.599521754,2025-10-01
primary_grid25,exp006 正式·25kWh,11,1272986.19785904,1189705.50738404,83280.6904749934,1959391.22640833,18613.5754758148,617477.012270444,556082.976155059,2025-11-01
primary_grid25,exp006 正式·25kWh,12,1672765.23389082,1605786.1473675,66979.0865233235,2589750.01081302,16568.7173437799,707114.300004384,636382.458601334,2025-12-01
seed_2026,exp006 树DP·种子2026,2,1242014.34792837,1187180.53020455,54833.8177238164,1959243.14317441,13259.2212976634,566123.824257208,509193.307674883,2025-02-01
seed_2026,exp006 树DP·种子2026,3,1160324.06033479,1101674.39900569,58649.6613290982,1858573.00683992,13799.9422631157,565309.146073266,508920.350091349,2025-03-01
seed_2026,exp006 树DP·种子2026,4,977307.354994277,941470.873282863,35836.4817114141,1622429.55502488,8772.46387409965,502924.846857924,452697.89664135,2025-04-01
seed_2026,exp006 树DP·种子2026,5,1028518.08074819,939901.183584807,88616.8971633812,1595293.96390391,19379.3809696379,478451.909175622,430136.776398157,2025-05-01
seed_2026,exp006 树DP·种子2026,6,1436342.33607511,1265742.05730025,170600.278774868,2056451.93298335,38166.8471810958,518423.143700044,466532.83895656,2025-06-01
seed_2026,exp006 树DP·种子2026,7,1609954.47254965,1480033.06185879,129921.410690859,2368447.43818229,32495.6640872958,523026.79764484,471199.397924481,2025-07-01
seed_2026,exp006 树DP·种子2026,8,1328962.73024513,1260185.44689453,68777.2833505967,2029871.89099331,16027.9832853961,509202.156101101,458290.110361199,2025-08-01
seed_2026,exp006 树DP·种子2026,9,1172287.54589194,1131373.56476775,40913.9811241905,1832149.878241,9372.74139749295,507527.784412661,456567.354463417,2025-09-01
seed_2026,exp006 树DP·种子2026,10,1137283.42261511,1080267.10509899,57016.317516122,1795028.96437684,13542.8912957862,573851.475174834,516465.29676445,2025-10-01
seed_2026,exp006 树DP·种子2026,11,1272583.81791276,1219778.26864941,52805.5492633463,1996867.23508712,11869.6980695072,608551.299380271,547911.551241127,2025-11-01
seed_2026,exp006 树DP·种子2026,12,1690148.25580489,1602698.82446842,87449.4313364735,2580820.67241287,20999.9032999928,699304.852036761,629398.050827701,2025-12-01
seed_3407,exp006 树DP·种子3407,2,1243194.16322244,1188291.08408139,54903.0791410479,1960312.69357251,13314.6777540767,565250.895954517,508426.635964899,2025-02-01
seed_3407,exp006 树DP·种子3407,3,1158655.09345165,1094449.34822026,64205.745231388,1851239.08047058,14768.1873810522,567973.944878983,511272.955747311,2025-03-01
seed_3407,exp006 树DP·种子3407,4,976631.544474176,943985.243747475,32646.3007267007,1625626.38048352,7927.54685496486,502630.275438162,452513.035688519,2025-04-01
seed_3407,exp006 树DP·种子3407,5,1028607.93572171,939857.36327751,88750.5724441987,1596209.03470682,19241.7789871842,479490.465850634,431047.13108698,2025-05-01
seed_3407,exp006 树DP·种子3407,6,1445747.13579623,1263491.34883562,182255.786960614,2054758.80788589,40666.5192316288,518351.941038257,466663.74434218,2025-06-01
seed_3407,exp006 树DP·种子3407,7,1608569.98274406,1478711.35310054,129858.629643522,2364692.36399062,32080.7284317783,522968.529606833,470886.51439647,2025-07-01
seed_3407,exp006 树DP·种子3407,8,1325633.33654953,1260394.17545132,65239.1610982112,2025512.81441758,15098.0600813999,509622.869537044,458706.745973748,2025-08-01
seed_3407,exp006 树DP·种子3407,9,1182170.20168763,1125270.90805111,56899.2936365156,1824753.46358647,12221.746624866,508444.153600191,457370.208829557,2025-09-01
seed_3407,exp006 树DP·种子3407,10,1137260.35978057,1074888.79769561,62371.5620849642,1792413.32894392,14533.4096078412,575625.081456072,518143.573252115,2025-10-01
seed_3407,exp006 树DP·种子3407,11,1268968.64531995,1226070.936585,42897.70873495,2005197.40962095,9870.76379633427,608597.213099164,547979.535958996,2025-11-01
seed_3407,exp006 树DP·种子3407,12,1700166.85108209,1602541.55964053,97625.2914415571,2580785.20846748,23008.485986082,695417.914104686,625752.723311551,2025-12-01
zero_terminal,exp006 无终值,2,1243519.02879389,1186789.03754675,56729.9912471405,1957833.43507572,13543.2934302181,564721.736803208,507941.132560144,2025-02-01
zero_terminal,exp006 无终值,3,1162130.43267895,1098775.05238909,63355.3802898641,1855813.59312822,14732.7748440337,565264.19379383,508940.574220644,2025-03-01
zero_terminal,exp006 无终值,4,977869.51323673,942115.882761373,35753.6304753575,1624015.40823023,8753.61125213239,502490.944896697,452271.65236853,2025-04-01
zero_terminal,exp006 无终值,5,1033541.68700552,943396.687167485,90144.9998380326,1601984.21979915,19686.9592387917,478815.360305931,429911.837061518,2025-05-01
zero_terminal,exp006 无终值,6,1434185.51800298,1263562.84584437,170622.672158605,2047121.27814009,38071.6108159362,517149.076430037,466192.846970204,2025-06-01
zero_terminal,exp006 无终值,7,1620008.12109356,1476861.67059379,143146.45049977,2363271.75165495,35347.599495747,522043.176229562,470068.309883579,2025-07-01
zero_terminal,exp006 无终值,8,1332531.11385531,1272784.30751246,59746.8063428485,2049918.62509339,13963.1764581322,506017.49802463,455387.076134728,2025-08-01
zero_terminal,exp006 无终值,9,1168821.48436684,1118504.84873909,50316.6356277514,1813107.04098652,11214.7974244407,508457.930838731,457404.71835354,2025-09-01
zero_terminal,exp006 无终值,10,1142625.70331291,1109201.45508812,33424.2482247895,1839680.7026099,7631.52453770687,566137.720864623,509473.593187893,2025-10-01
zero_terminal,exp006 无终值,11,1274520.33475428,1193423.96011726,81096.3746370187,1960010.93674424,18258.8191466193,613702.52499678,552676.825019591,2025-11-01
zero_terminal,exp006 无终值,12,1676504.54015583,1610375.70149893,66128.8386568986,2589487.44363361,16355.6159598258,697775.273485316,628003.037394046,2025-12-01
