No supported GPU was found.
BLOCK_DONE cost_only_42 days=154/334 iterations=658 elapsed=50.52s
BLOCK_DONE cost_only_42 days=168/334 iterations=702 elapsed=54.12s
BLOCK_DONE cost_only_42 days=182/334 iterations=746 elapsed=57.74s
BLOCK_DONE cost_only_42 days=196/334 iterations=790 elapsed=61.28s
BLOCK_DONE cost_only_42 days=210/334 iterations=834 elapsed=64.90s
BLOCK_DONE cost_only_42 days=224/334 iterations=878 elapsed=68.62s
BLOCK_DONE cost_only_42 days=238/334 iterations=922 elapsed=72.09s
BLOCK_DONE cost_only_42 days=252/334 iterations=966 elapsed=75.84s
BLOCK_DONE cost_only_42 days=266/334 iterations=1010 elapsed=79.63s
BLOCK_DONE cost_only_42 days=280/334 iterations=1054 elapsed=83.33s
BLOCK_DONE cost_only_42 days=294/334 iterations=1098 elapsed=87.04s
BLOCK_DONE cost_only_42 days=308/334 iterations=1142 elapsed=90.71s
BLOCK_DONE cost_only_42 days=322/334 iterations=1186 elapsed=94.43s
BLOCK_DONE cost_only_42 days=334/334 iterations=1230 elapsed=98.02s
CASE_DONE cost_only_42 cost=17725266.639155 wall=98.13s
BLOCK_DONE cost_only_2026 days=14/334 iterations=218 elapsed=16.75s
BLOCK_DONE cost_only_2026 days=28/334 iterations=262 elapsed=20.42s
BLOCK_DONE cost_only_2026 days=42/334 iterations=306 elapsed=24.16s
BLOCK_DONE cost_only_2026 days=56/334 iterations=350 elapsed=27.84s
BLOCK_DONE cost_only_2026 days=70/334 iterations=394 elapsed=31.53s
BLOCK_DONE cost_only_2026 days=84/334 iterations=438 elapsed=35.25s
BLOCK_DONE cost_only_2026 days=98/334 iterations=482 elapsed=39.01s
BLOCK_DONE cost_only_2026 days=112/334 iterations=526 elapsed=42.67s
BLOCK_DONE cost_only_2026 days=126/334 iterations=570 elapsed=46.41s
BLOCK_DONE cost_only_2026 days=140/334 iterations=614 elapsed=50.12s
BLOCK_DONE cost_only_2026 days=154/334 iterations=658 elapsed=53.81s
BLOCK_DONE cost_only_2026 days=168/334 iterations=702 elapsed=57.60s
BLOCK_DONE cost_only_2026 days=182/334 iterations=746 elapsed=61.28s
BLOCK_DONE cost_only_2026 days=196/334 iterations=790 elapsed=65.00s
BLOCK_DONE cost_only_2026 days=210/334 iterations=834 elapsed=68.67s
BLOCK_DONE cost_only_2026 days=224/334 iterations=878 elapsed=72.34s
BLOCK_DONE cost_only_2026 days=238/334 iterations=922 elapsed=76.10s
BLOCK_DONE cost_only_2026 days=252/334 iterations=966 elapsed=79.81s
BLOCK_DONE cost_only_2026 days=266/334 iterations=1010 elapsed=83.49s
BLOCK_DONE cost_only_2026 days=280/334 iterations=1054 elapsed=87.31s
BLOCK_DONE cost_only_2026 days=294/334 iterations=1098 elapsed=91.02s
BLOCK_DONE cost_only_2026 days=308/334 iterations=1142 elapsed=94.76s
BLOCK_DONE cost_only_2026 days=322/334 iterations=1186 elapsed=98.49s
BLOCK_DONE cost_only_2026 days=334/334 iterations=1230 elapsed=102.29s
CASE_DONE cost_only_2026 cost=17627107.273037 wall=102.40s
BLOCK_DONE cost_only_3407 days=14/334 iterations=218 elapsed=17.09s
BLOCK_DONE cost_only_3407 days=28/334 iterations=262 elapsed=20.85s
BLOCK_DONE cost_only_3407 days=42/334 iterations=306 elapsed=24.66s
BLOCK_DONE cost_only_3407 days=56/334 iterations=350 elapsed=28.41s
BLOCK_DONE cost_only_3407 days=70/334 iterations=394 elapsed=32.36s
BLOCK_DONE cost_only_3407 days=84/334 iterations=438 elapsed=36.29s
BLOCK_DONE cost_only_3407 days=98/334 iterations=482 elapsed=40.21s
BLOCK_DONE cost_only_3407 days=112/334 iterations=526 elapsed=44.12s
BLOCK_DONE cost_only_3407 days=126/334 iterations=570 elapsed=47.93s
BLOCK_DONE cost_only_3407 days=140/334 iterations=614 elapsed=51.82s
BLOCK_DONE cost_only_3407 days=154/334 iterations=658 elapsed=55.64s
BLOCK_DONE cost_only_3407 days=168/334 iterations=702 elapsed=59.55s
BLOCK_DONE cost_only_3407 days=182/334 iterations=746 elapsed=63.34s
BLOCK_DONE cost_only_3407 days=196/334 iterations=790 elapsed=67.25s
BLOCK_DONE cost_only_3407 days=210/334 iterations=834 elapsed=71.04s
BLOCK_DONE cost_only_3407 days=224/334 iterations=878 elapsed=74.90s
BLOCK_DONE cost_only_3407 days=238/334 iterations=922 elapsed=78.72s
BLOCK_DONE cost_only_3407 days=252/334 iterations=966 elapsed=82.67s
BLOCK_DONE cost_only_3407 days=266/334 iterations=1010 elapsed=86.55s
BLOCK_DONE cost_only_3407 days=280/334 iterations=1054 elapsed=90.36s
BLOCK_DONE cost_only_3407 days=294/334 iterations=1098 elapsed=94.21s
BLOCK_DONE cost_only_3407 days=308/334 iterations=1142 elapsed=98.16s
BLOCK_DONE cost_only_3407 days=322/334 iterations=1186 elapsed=102.05s
BLOCK_DONE cost_only_3407 days=334/334 iterations=1230 elapsed=105.87s
CASE_DONE cost_only_3407 cost=17537327.630916 wall=106.00s
{"complete": true, "runs": 6, "formal_wall_seconds": 574.8953720830614}
