day,date,month,scenario,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,initial_soc,final_soc,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,max_balance_error,max_state_error,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,weight,updates,candidate_id,alpha_load,alpha_pv
25,2025-01-26,1,2,85924.52649258614,85924.52649258614,4140.610194067293,150,23208.420027557237,20988.23173842781,145.95836419067427,1392.890864204615,1286.792534200134,53640.75863554484,0.0,0.0,26441.78575135638,80082.54438690121,0,0.0,9.094947017729282e-13,0.015184458927251399,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
26,2025-01-27,1,2,90059.9566821287,90059.9566821287,215.72377563223782,90,25132.55982422131,22658.733433882513,3606.9372840888136,1286.792534200134,1245.230094801909,56227.28280475595,0.0,0.0,494.31661297939866,56721.59941773533,0,0.0,9.094947017729282e-13,0.011697417008690536,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
27,2025-01-28,1,2,86671.57038169965,86671.57038169965,3179.2865540756648,110,25268.83602336233,22764.134364300837,365.75591004714977,1245.230094801909,1221.8482735762989,53810.3017230713,0.0,0.0,19041.270131943253,72851.57185501454,0,0.0,9.094947017729282e-13,0.011804374982602894,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
28,2025-01-29,1,2,89737.30345434022,89737.30345434022,28.78830533981329,10,23337.93400577869,20430.71117489737,5473.667878798695,1221.8482735762989,1826.2959659535354,56210.125470494095,0.0,0.0,167.2168715663055,56377.34234206041,0,0.0,9.094947017729282e-13,0.011291707982309163,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
29,2025-01-30,1,2,84133.87120338951,84133.87120338951,2127.0966222124594,120,24091.131169142183,22116.899958188973,544.153831315438,1826.2959659535354,1367.8901872762178,52236.27959102108,0.0,0.0,11582.535379828765,63818.81497084982,0,0.0,9.094947017729282e-13,0.01192850002553314,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
30,2025-01-31,1,2,39707.373287285096,39707.373287285096,1209.9808963615965,50,19129.302762365725,17165.2299505953,188.9583218762715,1367.8901872762178,1421.7991531439097,20356.03516162188,0.0,0.0,6933.893967683661,27289.929129305547,0,0.0,8.810729923425242e-13,0.04772762500215322,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
24,2025-01-25,1,2,42373.57329250188,42373.57329250188,31.5648568613355,30,20272.12773242663,18283.83280918526,1977.2677594551835,1422.1353484698725,1381.1123325895787,21956.999194316435,0.0,0.0,136.5067780724358,22093.505972388866,0,0.0,9.094947017729282e-13,0.02569554198998958,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
25,2025-01-26,1,2,86051.74032422277,86051.74032422277,3995.3645878041234,140,23276.91927961475,21068.409067891374,139.60466697018967,1381.1123325895787,1255.4837730028235,53744.03493994462,0.0,0.0,25596.759739250352,79340.79467919498,0,0.0,9.094947017729282e-13,0.01186458405572921,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
26,2025-01-27,1,2,90280.22968390727,90280.22968390727,233.74331889058692,100,25055.298205930238,22561.373287785907,3825.131301320191,1255.4837730028235,1243.2511317488459,56405.254040556676,0.0,0.0,528.0127692572917,56933.26680981394,0,0.0,9.094947017729282e-13,0.011951499967835844,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
27,2025-01-28,1,2,86625.0172393931,86625.0172393931,3210.8563149910224,120,25229.57455570589,22742.37559264256,368.27522465413426,1243.2511317488459,1205.55837107651,53789.32531770244,0.0,0.0,19211.166155518807,73000.49147322123,0,0.0,9.094947017729282e-13,0.011845125001855195,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
28,2025-01-29,1,2,89522.14238518421,89522.14238518421,28.909992275238096,10,23366.784491447776,20479.666878918157,5278.733714929828,1205.55837107651,1785.7721942943924,56058.339800867354,0.0,0.0,167.92369013072047,56226.26349099809,0,0.0,9.094947017729282e-13,0.011327125015668571,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
29,2025-01-30,1,2,83903.37883568855,83903.37883568855,2320.325867459162,130,24034.92931486012,22046.172800902066,492.36540585632326,1785.7721942943924,1348.6016249587385,52057.25509507309,0.0,0.0,12792.247576314843,64849.502671387934,0,0.0,9.094947017729282e-13,0.012696916935965419,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
30,2025-01-31,1,2,39788.68550925262,39788.68550925262,1147.4798319865474,50,19216.468603749796,17232.132984760807,187.50667225017548,1348.6016249587385,1414.6813785949992,20394.947936555614,0.0,0.0,6476.897774264728,26871.845710820344,0,0.0,8.810729923425242e-13,0.03945050004404038,1,0,0,0,1,0.0,0,load_0.5_pv_0,0.5,0.0
24,2025-01-25,1,2,42191.906178385354,42191.906178385354,38.1290271424283,30,20272.12773242663,18283.83280918526,1802.1648156197482,1422.1353484698725,1381.1123325895787,21858.766646898603,0.0,0.0,168.9042404947693,22027.670887393375,0,0.0,9.094947017729282e-13,0.026883458951488137,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
25,2025-01-26,1,2,85851.10063474195,85851.10063474195,4184.076042338661,150,23186.907464667274,20987.398434438634,136.67761351865158,1381.1123325895787,1255.4837730028235,53586.08948994007,0.0,0.0,26701.11745976915,80287.20694970923,0,0.0,9.094947017729282e-13,0.012488084030337632,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
26,2025-01-27,1,2,90105.13436617266,90105.13436617266,245.93692558512998,100,25108.665953837517,22609.40426090246,3656.8928154893974,1255.4837730028235,1243.2511317488459,56268.49260068937,0.0,0.0,557.0883293645704,56825.58093005392,0,0.0,9.094947017729282e-13,0.011873792042024434,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
27,2025-01-28,1,2,86552.28690173359,86552.28690173359,3271.7998634250034,120,25205.37914641788,22720.599724283355,358.90797635739693,1243.2511317488459,1205.55837107651,53728.291812491654,0.0,0.0,19568.437499095853,73296.72931158748,0,0.0,9.094947017729282e-13,0.012940792017616332,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
28,2025-01-29,1,2,89536.80137396796,89536.80137396796,29.77999414761871,10,23373.866534139655,20487.455689608403,5294.969473584331,1205.55837107651,1784.2806825639152,56062.461003970966,0.0,0.0,172.97709600644325,56235.438099977415,0,0.0,9.094947017729282e-13,0.010917874984443188,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
29,2025-01-30,1,2,83938.91642844651,83938.91642844651,2303.3270684196154,120,24047.987639054187,22056.51032040918,508.183394887797,1784.2806825639152,1348.6016249587385,52076.08616398504,0.0,0.0,12665.952869508234,64742.03903349327,0,0.0,9.094947017729282e-13,0.012792416964657605,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
30,2025-01-31,1,2,39704.59502606454,39704.59502606454,1223.5930842523012,50,19145.17940161653,17167.972702840867,186.65836154117585,1348.6016249587385,1414.6813785949992,20348.94288508658,0.0,0.0,6997.954097192237,27346.896982278824,0,0.0,9.059419880941277e-13,0.04325004096608609,1,0,0,0,1,0.0,0,load_0.5_pv_0.5,0.5,0.5
24,2025-01-25,1,2,42010.59681590322,42010.59681590322,44.6931974235203,30,20275.10731938081,18286.514437444028,1627.121664723286,1422.1353484698725,1381.1123325895787,21761.468260548485,0.0,0.0,201.30170291709888,21962.76996346558,0,0.0,9.094947017729282e-13,0.02614912495482713,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
25,2025-01-26,1,2,85650.46094526115,85650.46094526115,4372.923392490685,150,23098.254605894726,20907.610861543348,133.7505600671135,1381.1123325895787,1255.4837730028235,53428.14403993553,0.0,0.0,27812.872005025827,81241.01604496133,0,0.0,9.094947017729282e-13,0.020272666937671602,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
26,2025-01-27,1,2,89930.03904843805,89930.03904843805,258.1305322796711,110,25164.19589182425,22659.381205090514,3488.438110650646,1255.4837730028235,1243.2511317488459,56131.73116082207,0.0,0.0,593.9594080410634,56725.69056886311,0,0.0,9.094947017729282e-13,0.013345584040507674,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
27,2025-01-28,1,2,86479.55656407408,86479.55656407408,3332.743411858978,130,25181.183737129875,22698.823855924144,349.54072806065915,1243.2511317488459,1205.55837107651,53667.25830728082,0.0,0.0,19925.668053434532,73592.92636071536,0,0.0,9.094947017729282e-13,0.020209790905937552,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
28,2025-01-29,1,2,89551.46036275174,89551.46036275174,30.64999601999932,10,23380.948576831535,20495.244500298642,5311.205232238832,1205.55837107651,1782.7891708334398,56066.58220707458,0.0,0.0,178.03050188216605,56244.612708956745,0,0.0,9.094947017729282e-13,0.011794624966569245,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
29,2025-01-30,1,2,83974.4540212045,83974.4540212045,2286.328269380071,120,24061.04596324826,22066.847839916292,524.0013839192708,1782.7891708334398,1348.6016249587385,52094.91723289701,0.0,0.0,12538.087478713678,64633.00471161069,0,0.0,9.094947017729282e-13,0.013327582972124219,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
30,2025-01-31,1,2,39620.50454287647,39620.50454287647,1299.7063365180504,50,19073.890199483274,17103.812420920935,185.81005083217622,1348.6016249587385,1414.6813785949992,20302.937833617547,0.0,0.0,7519.01042011971,27821.94825373726,0,0.0,8.810729923425242e-13,0.055669707944616675,1,0,0,0,1,0.0,0,load_0.5_pv_1,0.5,1.0
24,2025-01-25,1,2,42249.6010860462,42249.6010860462,58.37550812393437,30,20268.24786406936,18291.515023882464,1891.6682873165728,1422.1353484698725,1369.3338009745423,21881.691153053216,0.0,0.0,264.6863251558617,22146.377478209077,0,0.0,9.094947017729282e-13,0.0293891669716686,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
25,2025-01-26,1,2,85777.6747768978,85777.6747768978,4227.657422328251,150,23166.55021895968,20987.60491591361,127.39686284662878,1369.3338009745423,1224.1750118055124,53531.42034433532,0.0,0.0,26961.022147738437,80492.44249207377,0,0.0,9.094947017729282e-13,0.016918625100515783,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
26,2025-01-27,1,2,90150.31205021663,90150.31205021663,276.29960347541135,130,25086.73544364329,22561.84211209301,3706.8015388084154,1224.1750118055124,1241.2721686957827,56309.702396622786,0.0,0.0,651.1814456202388,56960.883842243005,0,0.0,9.094947017729282e-13,0.013614165945909917,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
27,2025-01-28,1,2,86433.00342176753,86433.00342176753,3377.081766849862,130,25142.695733405715,22665.069954122635,352.06004266764353,1241.2721686957827,1202.6462182518458,53646.28190191194,0.0,0.0,20120.22483771775,73766.5067396297,0,0.0,9.094947017729282e-13,0.01741962495725602,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
28,2025-01-29,1,2,89323.60804591345,89323.60804591345,52.56417431101647,20,23375.41519023078,20525.945966958872,5141.501946952558,1202.6462182518458,1742.2653991743007,55903.253599385425,0.0,0.0,277.8822598688484,56181.13585925428,0,0.0,9.094947017729282e-13,0.011812750017270446,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
29,2025-01-30,1,2,83743.9616535035,83743.9616535035,2479.6905030147036,140,24005.81977355809,21996.998780762104,472.24838038889584,1742.2653991743007,1329.3130626412596,51915.89273694903,0.0,0.0,13728.220336532773,65644.1130734818,0,0.0,9.094947017729282e-13,0.013521291897632182,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
30,2025-01-31,1,2,39701.81676484397,39701.81676484397,1237.205272143019,50,19161.440652894817,17171.100067113915,184.35840120607998,1329.3130626412596,1407.523062378676,20341.850608551278,0.0,0.0,7062.014226700896,27403.864835252178,0,0.0,9.094947017729282e-13,0.044878500048071146,1,0,0,0,1,0.0,0,load_1_pv_0,1.0,0.0
24,2025-01-25,1,2,42068.02086751914,42068.02086751914,64.93967840502808,30,20268.794549782382,18292.00704102419,1716.5975704993048,1422.1353484698725,1369.3338009745423,21783.685507398623,0.0,0.0,297.0837875781997,22080.769294976824,0,0.0,9.094947017729282e-13,0.02921045897528529,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
25,2025-01-26,1,2,85577.03508741697,85577.03508741697,4416.465178592949,150,23077.501421313853,20907.460998032355,124.46980939509069,1369.3338009745423,1224.1750118055124,53373.47489433075,0.0,0.0,28072.580327110914,81446.05522144168,0,0.0,9.094947017729282e-13,0.014078665990382433,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
26,2025-01-27,1,2,89975.21673248199,89975.21673248199,288.4932101699525,140,25141.12030408302,22610.788486488764,3538.461341724368,1224.1750118055124,1241.2721686957827,56172.94095675549,0.0,0.0,709.4350501579694,56882.37600691344,0,0.0,9.094947017729282e-13,0.014219209086149931,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
27,2025-01-28,1,2,86360.27308410802,86360.27308410802,3438.0253152838322,130,25118.50032411772,22643.29408576344,342.69279437090563,1241.2721686957827,1202.6462182518458,53585.24839670115,0.0,0.0,20471.961325280645,74057.20972198181,0,0.0,9.094947017729282e-13,0.013780749985016882,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
28,2025-01-29,1,2,89338.2670346972,89338.2670346972,56.27139782572988,20,23379.566675490667,20531.097275960317,5160.867982992586,1202.6462182518458,1740.7738874438235,55907.374802489045,0.0,0.0,295.8436056063641,56203.2184080954,0,0.0,9.094947017729282e-13,0.013887417037039995,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
29,2025-01-30,1,2,83779.49924626148,83779.49924626148,2462.679205965365,140,24018.891984429705,22007.34879827901,488.0524827428185,1740.7738874438235,1329.3130626412596,51934.72380586099,0.0,0.0,13605.411694819188,65540.13550068018,0,0.0,9.094947017729282e-13,0.013923667022027075,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
30,2025-01-31,1,2,39617.726281655894,39617.726281655894,1313.318524408772,50,19090.151450761557,17106.939785193976,183.51009049708034,1329.3130626412596,1407.523062378676,20295.845557082248,0.0,0.0,7583.070549628395,27878.916106710647,0,0.0,9.094947017729282e-13,0.05901195795740932,1,0,0,0,1,0.0,0,load_1_pv_0.5,1.0,0.5
24,2025-01-25,1,2,41886.73363314217,41886.73363314217,71.50384868611917,30,20272.36618866675,18295.221516020116,1541.5173425149849,1422.1353484698725,1369.3338009745423,21686.444901956707,0.0,0.0,329.4812500005248,22015.926151957232,0,0.0,9.094947017729282e-13,0.030987999984063208,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
25,2025-01-26,1,2,85376.39539793615,85376.39539793615,4605.353803122465,150,22989.26130631627,20828.044894534534,121.5427559435526,1369.3338009745423,1224.1750118055124,53215.52944432621,0.0,0.0,29184.56165386263,82400.09109818883,0,0.0,9.094947017729282e-13,0.01914204191416502,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
26,2025-01-27,1,2,89800.1214147474,89800.1214147474,300.6868168644885,150,25197.787490149538,22661.78895394863,3369.8929120776443,1224.1750118055124,1241.2721686957827,56036.17951688819,0.0,0.0,770.2406696810216,56806.420186569194,0,0.0,9.094947017729282e-13,0.014441250008530915,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
27,2025-01-28,1,2,86287.5427464485,86287.5427464485,3498.968863717817,130,25094.3049148297,22621.51821740422,333.32554607416785,1241.2721686957827,1202.6462182518458,53524.214891490345,0.0,0.0,20823.69781284363,74347.91270433397,0,0.0,9.094947017729282e-13,0.015058666933327913,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
28,2025-01-29,1,2,89352.92602348096,89352.92602348096,59.97862134044692,20,23383.924337755612,20536.43414426632,5180.213401332118,1202.6462182518458,1739.28237571335,55911.49600559265,0.0,0.0,313.80495134389645,56225.30095693654,0,0.0,9.094947017729282e-13,0.012764542014338076,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
29,2025-01-30,1,2,83815.03683901946,83815.03683901946,2445.6804069258114,140,24031.950308623767,22017.686317786123,503.87047177429247,1739.28237571335,1329.3130626412596,51953.554874772955,0.0,0.0,13482.687345932605,65436.24222070555,0,0.0,9.094947017729282e-13,0.01481808302924037,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
30,2025-01-31,1,2,39533.63579846782,39533.63579846782,1389.431776674516,50,19018.862248628295,17042.779503274043,182.6617797880807,1329.3130626412596,1407.523062378676,20249.84411702588,0.0,0.0,8112.314747600858,28362.15886462674,0,0.0,9.094947017729282e-13,0.0605136250378564,1,0,0,0,1,0.0,0,load_1_pv_1,1.0,1.0
