beta,date,month,slot,hour,charge_kwh,discharge_kwh,overlap_kwh,overlap_flag,significant_overlap_kwh,grid_kwh,emergency_kwh,end_soc_kwh,net_power_kw,total_cost
0.1,2025-02-01,2025-02,34,5.666666666666667,0.0,394.1391103878338,0.0,0,0.0,190.59235746394697,0.0,10080.668972916646,-2364.834662327003,108.79011764042093
0.1,2025-02-01,2025-02,35,5.833333333333333,0.0,510.98333333333335,0.0,0,0.0,0.0,0.0,9542.045246343856,-3065.9,0.0
0.1,2025-02-01,2025-02,36,6.0,0.0,535.1871833333332,0.0,0,0.0,0.0,0.0,8977.90842172271,-3211.1230999999993,0.0
0.1,2025-02-01,2025-02,37,6.166666666666667,0.0,535.1871833333332,0.0,0,0.0,0.0,0.0,8413.771597101564,-3211.1230999999993,0.0
0.1,2025-02-01,2025-02,38,6.333333333333333,0.0,535.1871833333332,0.0,0,0.0,0.0,0.0,7849.634772480418,-3211.1230999999993,0.0
0.1,2025-02-01,2025-02,39,6.5,0.0,535.1871833333332,0.0,0,0.0,0.0,0.0,7285.497947859272,-3211.1230999999993,0.0
0.1,2025-02-01,2025-02,40,6.666666666666667,0.0,551.4800833333333,0.0,0,0.0,0.0,0.0,6704.186898675007,-3308.8804999999998,0.0
0.1,2025-02-01,2025-02,41,6.833333333333333,0.0,552.0416426685865,0.0,0,0.0,0.0,2.3998080153587716e-05,6122.283913977165,-3312.249856011519,0.00010000000000000002
0.1,2025-02-01,2025-02,42,7.0,0.0,514.5580499999999,0.0,0,0.0,0.0,0.0,5579.892105185564,-3087.348299999999,0.0
0.1,2025-02-01,2025-02,43,7.166666666666667,0.0,502.0887938366459,0.0,0,0.0,0.0,0.0,5050.64404646206,-3012.5327630198753,0.0
0.1,2025-02-01,2025-02,44,7.333333333333333,0.0,451.3445718174339,0.0,0,0.0,0.0,0.0,4574.885094296549,-2708.0674309046035,0.0
0.1,2025-02-01,2025-02,45,7.5,0.0,382.75120471744214,0.0,0,0.0,0.0,0.0,4171.429899603048,-2296.507228304653,0.0
0.1,2025-02-01,2025-02,46,7.666666666666667,0.0,361.16134999999997,0.0,0,0.0,0.0,0.0,3790.732409995964,-2166.9681,0.0
0.1,2025-02-01,2025-02,47,7.833333333333333,0.0,299.92291666666665,0.0,0,0.0,0.0,0.0,3474.5858969467836,-1799.5375,0.0
0.1,2025-02-01,2025-02,48,8.0,0.0,242.18727758923842,0.0,0,0.0,0.0,0.0,3219.2980911143013,-1453.1236655354305,0.0
0.1,2025-02-01,2025-02,49,8.166666666666666,0.0,196.9825830109039,0.0,0,0.0,0.0,0.0,3011.6602172150865,-1181.8954980654235,0.0
0.1,2025-02-01,2025-02,50,8.333333333333334,0.0,142.80742121226814,0.0,0,0.0,0.0,0.0,2861.1279779464826,-856.8445272736088,0.0
0.1,2025-02-01,2025-02,51,8.5,0.0,137.33763082460047,0.0,0,0.0,0.0,0.0,2716.3614039941203,-824.0257849476028,0.0
0.1,2025-02-01,2025-02,52,8.666666666666666,0.0,137.33763082460047,0.0,0,0.0,0.0,0.0,2571.594830041758,-824.0257849476028,0.0
0.1,2025-02-01,2025-02,53,8.833333333333334,0.0,137.33763082460047,0.0,0,0.0,0.0,0.0,2426.828256089396,-824.0257849476028,0.0
0.1,2025-02-01,2025-02,54,9.0,0.0,96.15984384093561,0.0,0,0.0,0.0,0.0,2325.466880761572,-576.9590630456137,0.0
0.1,2025-02-01,2025-02,55,9.166666666666666,0.0,36.30368065046241,0.0,0,0.0,0.0,0.0,2287.1994413272905,-217.82208390277447,0.0
0.1,2025-02-01,2025-02,56,9.333333333333334,0.0,27.190722848458943,0.0,0,0.0,0.0,0.0,2258.5379028514535,-163.14433709075368,0.0
0.1,2025-02-01,2025-02,57,9.5,0.0,9.657459981400885,0.0,0,0.0,0.0,0.0,2248.358046200402,-57.944759888405315,0.0
0.1,2025-02-01,2025-02,58,9.666666666666666,40.532636567314356,0.0,0.0,0,0.0,0.0,0.0,2286.8106815377646,243.19581940388613,0.0
0.1,2025-02-01,2025-02,59,9.833333333333334,85.73897989330969,0.0,0.0,0,0.0,0.0,0.0,2368.1498197544365,514.4338793598582,0.0
0.1,2025-02-01,2025-02,60,10.0,113.04734606311634,0.0,0.0,0,0.0,0.0,0.0,2475.3959488534515,678.284076378698,0.0
0.1,2025-02-01,2025-02,61,10.166666666666666,130.67524789344012,0.0,0.0,0,0.0,0.0,0.0,2599.365373998569,784.0514873606407,0.0
0.1,2025-02-01,2025-02,62,10.333333333333334,153.23370644740467,0.0,0.0,0,0.0,0.0,0.0,2744.735632003597,919.4022386844281,0.0
0.1,2025-02-01,2025-02,63,10.5,165.1794400337141,0.0,0.0,0,0.0,0.0,0.0,2901.4386079449177,991.0766402022846,0.0
0.1,2025-02-01,2025-02,64,10.666666666666666,168.01655930416928,0.0,0.0,0,0.0,0.0,0.0,3060.8331115526967,1008.0993558250157,0.0
0.1,2025-02-01,2025-02,65,10.833333333333334,288.9236604627965,0.0,0.0,0,0.0,0.0,0.0,3334.9301626453694,1733.541962776779,0.0
0.1,2025-02-01,2025-02,66,11.0,288.9236604627965,0.0,0.0,0,0.0,103.88518556905035,0.0,3609.027213738042,1733.541962776779,48.43127351229128
0.1,2025-02-01,2025-02,67,11.166666666666666,455.5903271294631,0.0,0.0,0,0.0,62.85975982495745,0.0,4041.2381478391335,2733.5419627767787,31.4738817443562
0.1,2025-02-01,2025-02,68,11.333333333333334,551.9352084161325,0.0,0.0,0,0.0,195.6993699521709,0.0,4564.849861669548,3311.611250496795,94.4640858759129
0.1,2025-02-01,2025-02,69,11.5,551.9352084161325,0.0,0.0,0,0.0,372.499673623972,0.0,5088.461575499962,3311.611250496795,178.2410938290706
0.1,2025-02-01,2025-02,70,11.666666666666666,551.9352084161325,0.0,0.0,0,0.0,512.6165394274853,0.0,5612.073289330377,3311.611250496795,238.98183068109367
0.1,2025-02-01,2025-02,71,11.833333333333334,551.9352084161325,0.0,0.0,0,0.0,512.8898172972421,0.0,6135.685003160791,3311.611250496795,227.3127670261377
0.1,2025-02-01,2025-02,72,12.0,551.9352084161324,0.0,0.0,0,0.0,555.9948644462984,0.0,6659.296716991205,3311.611250496794,245.24933470726222
0.1,2025-02-01,2025-02,73,12.166666666666666,551.9352084161324,0.0,0.0,0,0.0,580.8977874824739,0.0,7182.90843082162,3311.611250496794,264.36658308327384
0.1,2025-02-01,2025-02,74,12.333333333333334,551.9352084161324,0.0,0.0,0,0.0,451.74775999800505,0.0,7706.520144652034,3311.611250496794,201.61502528710963
0.1,2025-02-01,2025-02,75,12.5,551.9352084161324,0.0,0.0,0,0.0,265.1718296733,0.0,8230.131858482448,3311.611250496794,109.0651735446283
0.1,2025-02-01,2025-02,76,12.666666666666666,400.641821504275,0.0,0.0,0,0.0,123.8173895583362,0.0,8610.214063044088,2403.85092902565,70.35304074704663
0.1,2025-02-01,2025-02,77,12.833333333333334,233.97515483760836,0.0,0.0,0,0.0,0.0,0.0,8832.18238459731,1403.8509290256502,0.0
0.1,2025-02-01,2025-02,78,13.0,232.10773953773366,0.0,0.0,0,0.0,0.0,0.0,9052.379120445017,1392.646437226402,0.0
0.1,2025-02-01,2025-02,79,13.166666666666666,232.10773953773366,0.0,0.0,0,0.0,0.0,0.0,9272.575856292724,1392.646437226402,0.0
0.1,2025-02-01,2025-02,80,13.333333333333334,232.1077395377337,0.0,0.0,0,0.0,0.0,0.0,9492.77259214043,1392.6464372264022,0.0
0.1,2025-02-01,2025-02,81,13.5,232.10773953773364,0.0,0.0,0,0.0,0.0,0.0,9712.969327988138,1392.646437226402,0.0
0.1,2025-02-01,2025-02,82,13.666666666666666,232.10773953773366,0.0,0.0,0,0.0,0.0,0.0,9933.166063835844,1392.646437226402,0.0
0.1,2025-02-01,2025-02,83,13.833333333333334,232.10773953773366,0.0,0.0,0,0.0,0.0,0.0,10153.362799683551,1392.646437226402,0.0
0.1,2025-02-01,2025-02,84,14.0,202.90003333333334,0.0,0.0,0,0.0,0.0,0.0,10345.850672480778,1217.4002,0.0
0.1,2025-02-01,2025-02,85,14.166666666666666,166.26881666666668,0.0,0.0,0,0.0,0.0,0.0,10503.587121839068,997.6129000000001,0.0
0.1,2025-02-01,2025-02,86,14.333333333333334,116.58833333333328,0.0,0.0,0,0.0,0.0,0.0,10614.192526419947,699.5299999999997,0.0
0.1,2025-02-01,2025-02,87,14.5,112.44431666666674,0.0,0.0,0,0.0,0.0,0.0,10720.866571602317,674.6659000000004,0.0
0.1,2025-02-01,2025-02,88,14.666666666666666,72.34605893688804,0.0,0.0,0,0.0,0.0,0.0,10789.50006939552,434.0763536213283,0.0
0.1,2025-02-01,2025-02,89,14.833333333333334,11.067898661287648,0.0,0.0,0,0.0,0.0,0.0,10800.0,66.4073919677259,0.0
0.1,2025-02-01,2025-02,90,15.0,-0.0,0.0,-0.0,0,0.0,72.12906312746031,0.0,10800.0,-0.0,47.60518166412381
0.1,2025-02-01,2025-02,91,15.166666666666666,0.0,0.0,0.0,0,0.0,128.72670693030287,0.0,10800.0,0.0,92.90206439159958
0.1,2025-02-01,2025-02,92,15.333333333333334,0.0,-0.0,-0.0,0,0.0,143.85804544164571,14.15945455835427,10800.0,0.0,156.8701065649812
0.1,2025-02-01,2025-02,93,15.5,0.0,-0.0,-0.0,0,0.0,172.02826603254613,11.132083967453895,10800.0,0.0,171.5406559343191
0.1,2025-02-01,2025-02,94,15.666666666666666,0.0,0.0,0.0,0,0.0,217.71214034433302,0.0,10800.0,0.0,170.31620739137173
0.1,2025-02-01,2025-02,95,15.833333333333334,0.0,-0.0,-0.0,0,0.0,260.1772192815336,0.0,10800.0,0.0,209.5727501312753
0.1,2025-02-01,2025-02,96,16.0,0.0,-0.0,-0.0,0,0.0,282.314089919597,0.0,10800.0,0.0,233.50198377249865
0.1,2025-02-01,2025-02,97,16.166666666666668,0.0,-0.0,-0.0,0,0.0,326.4840274330113,0.0,10800.0,0.0,278.1317429701823
0.1,2025-02-01,2025-02,98,16.333333333333332,0.0,-0.0,-0.0,0,0.0,400.62767266062383,0.0,10800.0,0.0,352.1917870359544
0.1,2025-02-01,2025-02,99,16.5,0.0,-0.0,-0.0,0,0.0,460.24436949850644,0.0,10800.0,0.0,415.3245190354522
0.1,2025-02-01,2025-02,100,16.666666666666668,0.0,-0.0,-0.0,0,0.0,449.9459021607527,0.0,10800.0,0.0,412.2854301498977
0.1,2025-02-01,2025-02,101,16.833333333333332,0.0,-0.0,-0.0,0,0.0,417.00593521517976,0.0,10800.0,0.0,386.31429838334253
0.1,2025-02-01,2025-02,102,17.0,0.0,-0.0,-0.0,0,0.0,462.37461640515517,0.0,10800.0,0.0,437.49886204255785
0.1,2025-02-01,2025-02,103,17.166666666666668,0.0,-0.0,-0.0,0,0.0,482.82793812588955,0.0,10800.0,0.0,470.3709773222416
0.1,2025-02-01,2025-02,104,17.333333333333332,0.0,-0.0,-0.0,0,0.0,467.63382067921475,0.0,10800.0,0.0,461.18047395384156
0.1,2025-02-01,2025-02,105,17.5,0.0,115.32323723784377,0.0,0,0.0,360.12936116106056,0.0,10678.438634394823,-691.9394234270627,351.48625649319507
0.1,2025-02-01,2025-02,106,17.666666666666668,0.0,281.9898876615152,0.0,0,0.0,197.98568382007767,0.0,10381.195193679689,-1691.9393259690912,212.67622155952745
0.1,2025-02-01,2025-02,107,17.833333333333332,0.0,406.7593564485411,0.0,0,0.0,21.71064355145893,0.0,9952.433185025793,-2440.556138691247,26.732315404911382
0.1,2025-02-01,2025-02,108,18.0,0.0,454.13505,0.0,0,0.0,0.0,0.0,9473.732810587644,-2724.8103,0.0
0.1,2025-02-01,2025-02,109,18.166666666666668,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,8975.921457065195,-2833.5919,0.0
0.1,2025-02-01,2025-02,110,18.333333333333332,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,8478.110103542745,-2833.5919,0.0
0.1,2025-02-01,2025-02,111,18.5,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,7980.298750020297,-2833.5919,0.0
0.1,2025-02-01,2025-02,112,18.666666666666668,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,7482.487396497849,-2833.5919,0.0
0.1,2025-02-01,2025-02,113,18.833333333333332,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,6984.6760429754,-2833.5919,0.0
0.1,2025-02-01,2025-02,114,19.0,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,6486.864689452952,-2833.5919,0.0
0.1,2025-02-01,2025-02,115,19.166666666666668,0.0,472.26531666666665,0.0,0,0.0,0.0,0.0,5989.053335930504,-2833.5919,0.0
0.1,2025-02-01,2025-02,116,19.333333333333332,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,5479.139576870197,-2902.48,0.0
0.1,2025-02-01,2025-02,117,19.5,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,4969.22581780989,-2902.48,0.0
0.1,2025-02-01,2025-02,118,19.666666666666668,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,4459.312058749583,-2902.48,0.0
0.1,2025-02-01,2025-02,119,19.833333333333332,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,3949.398299689277,-2902.48,0.0
0.1,2025-02-01,2025-02,120,20.0,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,3439.4845406289705,-2902.48,0.0
0.1,2025-02-01,2025-02,121,20.166666666666668,0.0,483.74666666666667,0.0,0,0.0,0.0,0.0,2929.570781568664,-2902.48,0.0
0.1,2025-02-01,2025-02,122,20.333333333333332,0.0,479.05968232916604,0.0,0,0.0,0.0,0.0,2424.59753779637,-2874.3580939749963,0.0
0.1,2025-02-01,2025-02,123,20.5,0.0,455.06669999999997,0.0,0,0.0,0.0,0.0,1944.9151180308547,-2730.4002,0.0
0.1,2025-02-01,2025-02,124,20.666666666666668,0.0,288.40003333333334,0.0,0,0.0,189.52203981846623,0.0,1640.914790496916,-1730.4002,231.7096458820568
0.1,2025-02-01,2025-02,125,20.833333333333332,0.0,121.73336666666667,0.0,0,0.0,390.1490205884858,0.0,1512.5965551945542,-730.4002,364.087066013175
0.1,2025-02-01,2025-02,126,21.0,0.0,-0.0,-0.0,0,0.0,521.2709050207542,0.0,1512.5965551945542,0.0,472.68845667281994
0.1,2025-02-01,2025-02,127,21.166666666666668,0.0,15.537634149598416,0.0,0,0.0,487.7454778412955,2.1342439440828086e-05,1496.2184507401728,-93.2258048975905,457.066387285078
0.1,2025-02-01,2025-02,128,21.333333333333332,0.0,0.6009692939041267,0.0,0,0.0,476.9556760303231,2.1342439440828086e-05,1495.5849734826527,-3.60581576342476,446.9552640080158
0.1,2025-02-01,2025-02,129,21.5,0.0,-0.0,-0.0,0,0.0,499.55067614638585,0.0,1495.5849734826527,0.0,493.1064724240975
0.1,2025-02-01,2025-02,130,21.666666666666668,0.0,0.0,0.0,0,0.0,489.10894303354195,0.0,1495.5849734826527,0.0,379.74418337124195
0.1,2025-02-01,2025-02,131,21.833333333333332,0.0,0.0,0.0,0,0.0,440.92313871085184,0.0,1495.5849734826527,0.0,185.58454908339755
0.1,2025-02-01,2025-02,132,22.0,0.0,0.0,0.0,0,0.0,418.46532414605014,0.0,1495.5849734826527,0.0,161.48576858796076
0.1,2025-02-01,2025-02,133,22.166666666666668,0.0,0.0,0.0,0,0.0,434.02463112376614,0.0,1495.5849734826527,0.0,189.58195887486107
0.1,2025-02-01,2025-02,134,22.333333333333332,0.0,0.0,0.0,0,0.0,460.025846483862,0.0,1495.5849734826527,0.0,193.11885035392527
0.1,2025-02-01,2025-02,135,22.5,0.0,0.0,0.0,0,0.0,455.7873495739832,0.0,1495.5849734826527,0.0,190.79258453166938
0.1,2025-02-01,2025-02,136,22.666666666666668,0.0,0.0,0.0,0,0.0,433.37232586808386,0.0,1495.5849734826527,0.0,183.79320340065436
0.1,2025-02-01,2025-02,137,22.833333333333332,0.0,17.145905420086592,0.0,0,0.0,414.6507140433703,4.720320981826764e-05,1477.5116022582195,-102.87543252051955,175.687607540176
0.1,2025-02-01,2025-02,138,23.0,0.0,17.145905420086592,0.0,0,0.0,413.52385437411886,0.0,1459.4382310337862,-102.87543252051955,175.6649333381257
0.1,2025-02-01,2025-02,139,23.166666666666668,0.0,17.145905420086592,0.0,0,0.0,427.87948260616264,0.0,1441.364859809353,-102.87543252051955,181.42090062501296
0.1,2025-02-01,2025-02,140,23.333333333333332,0.0,17.145905420086592,0.0,0,0.0,442.1328537349226,0.0,1423.2914885849198,-102.87543252051955,186.58006427613734
0.1,2025-02-01,2025-02,141,23.5,0.0,17.145905420086592,0.0,0,0.0,448.0479331169548,0.0,1405.2181173604865,-102.87543252051955,189.97232364158884
0.1,2025-02-01,2025-02,142,23.666666666666668,0.0,17.145905420086592,0.0,0,0.0,503.1952556665034,0.0,1387.1447461360533,-102.87543252051955,214.91469369516358
0.1,2025-02-01,2025-02,143,23.833333333333332,0.0,17.145905420086592,0.0,0,0.0,588.3616202351159,4.6772684752104775e-05,1369.07137491162,-102.87543252051955,251.58352881253555
0.1,2025-02-02,2025-02,0,0.0,149.5207612465803,0.0,0.0,0,0.0,718.9963989796994,29.188412266880874,1510.9192238180492,897.1245674794818,367.4258579414313
0.1,2025-02-02,2025-02,1,0.16666666666666666,316.1785410673561,0.0,0.0,0,0.0,888.1671171035018,9.745907297187557,1810.8725249306283,1897.0712464041367,397.7126294487171
0.1,2025-02-02,2025-02,2,0.3333333333333333,362.5091748951916,0.0,0.0,0,0.0,929.4538681915035,17.64864003702138,2154.7789245437693,2175.05504937115,434.454878489975
0.1,2025-02-02,2025-02,3,0.5,362.5091748951916,0.0,0.0,0,0.0,903.4094132841633,45.20262827769494,2498.68532415691,2175.05504937115,482.489315356151
0.1,2025-02-02,2025-02,4,0.6666666666666666,362.5091748951916,0.0,0.0,0,0.0,901.8675317452983,47.83850981656002,2842.591723770051,2175.05504937115,487.3467605216808
0.1,2025-02-02,2025-02,5,0.8333333333333334,354.0106063424928,0.0,0.0,0,0.0,928.7422051000151,21.34173457581096,3178.435673339909,2124.0636380549568,443.69070121403144
0.1,2025-02-02,2025-02,6,1.0,337.3563757184946,0.0,0.0,0,0.0,944.2025280595135,5.208664325647703,3498.480032474899,2024.1382543109676,418.27298580038985
0.1,2025-02-02,2025-02,7,1.1666666666666667,369.4044512197624,0.0,0.0,0,0.0,961.5904077943524,6.138343425410028,3848.9278655726034,2216.4267073185747,426.8797701411874
0.1,2025-02-02,2025-02,8,1.3333333333333333,389.3255244388545,0.0,0.0,0,0.0,974.6906016860319,0.0,4218.274488112502,2335.953146633127,417.07010846145306
0.1,2025-02-02,2025-02,9,1.5,362.394915789343,0.0,0.0,0,0.0,953.9985400470948,0.04910907558149802,4562.072492020274,2174.369494736058,411.470049635261
0.1,2025-02-02,2025-02,10,1.6666666666666667,287.81106410663006,0.0,0.0,0,0.0,912.10676410663,0.0,4835.11404153238,1726.8663846397803,395.21586088740275
0.1,2025-02-02,2025-02,11,1.8333333333333333,351.30558549072924,0.0,0.0,0,0.0,899.2709109873961,80.69967450333314,5168.3917829992915,2107.833512944376,561.623838118601
0.1,2025-02-02,2025-02,12,2.0,436.61930576355104,0.0,0.0,0,0.0,961.4900935239066,74.20332890631113,5582.605225983582,2619.7158345813064,572.04514264721
0.1,2025-02-02,2025-02,13,2.1666666666666665,374.4517766140958,0.0,0.0,0,0.0,1023.0009822457353,0.0,5937.841372382717,2246.710659684575,442.34562472305595
0.1,2025-02-02,2025-02,14,2.3333333333333335,362.5165202769699,0.0,0.0,0,0.0,1030.7028130547844,0.0,6281.754740436869,2175.0991216618195,450.1079184610243
0.1,2025-02-02,2025-02,15,2.5,362.5165202769709,0.0,0.0,0,0.0,993.235120880825,0.0,6625.6681084910215,2175.0991216618254,431.8586305589827
0.1,2025-02-02,2025-02,16,2.6666666666666665,324.5205694822788,0.0,0.0,0,0.0,951.853790065898,5.5092960830473885,6933.535352632701,1947.1234168936728,424.57001725357196
0.1,2025-02-02,2025-02,17,2.8333333333333335,266.5927086287704,0.0,0.0,0,0.0,938.1893067589183,11.145068536518693,7186.447402690862,1599.5562517726225,433.0486127616666
0.1,2025-02-02,2025-02,18,3.0,330.3237688103484,0.0,0.0,0,0.0,961.6088636818774,19.00617179513756,7499.8200451103385,1981.9426128620903,462.17421469041903
0.1,2025-02-02,2025-02,19,3.1666666666666665,385.3187619561709,0.0,0.0,0,0.0,1010.6024619561708,0.0,7865.36551900366,2311.9125717370252,441.73433612104225
0.1,2025-02-02,2025-02,20,3.3333333333333335,405.42741417977277,0.0,0.0,0,0.0,1054.2540808464394,0.0,8249.987735407818,2432.5644850786366,459.23307761670895
0.1,2025-02-02,2025-02,21,3.5,396.5586231642359,0.0,0.0,0,0.0,1057.8079875400538,5.987602290848713,8626.196277901636,2379.3517389854155,473.4958333622177
0.1,2025-02-02,2025-02,22,3.6666666666666665,374.6840570848472,0.0,0.0,0,0.0,1031.4622458431222,1.7773112417249308,8981.652784903836,2248.1043425090834,453.5920776945616
0.1,2025-02-02,2025-02,23,3.8333333333333335,211.85631564107157,0.0,0.0,0,0.0,847.2495751403176,2.261740500753973,9182.637333139039,1271.1378938464295,375.87681395258153
0.1,2025-02-02,2025-02,24,4.0,204.2882991023007,0.0,0.0,0,0.0,840.9428824356339,0.0,9376.44223048454,1225.7297946138042,370.0989625599225
0.1,2025-02-02,2025-02,25,4.166666666666667,167.22831083262855,0.0,0.0,0,0.0,844.1727960971988,0.0,9535.088935932654,1003.3698649957713,370.50744020706054
0.1,2025-02-02,2025-02,26,4.333333333333333,166.66666666666595,0.0,0.0,0,0.0,826.307820209582,0.0,9693.202818941072,999.9999999999957,360.6007327394616
0.1,2025-02-02,2025-02,27,4.5,166.66666666666592,0.0,0.0,0,0.0,842.2325732074137,0.0,9851.31670194949,999.9999999999956,369.9927694100169
0.1,2025-02-02,2025-02,28,4.666666666666667,164.11988824189677,0.0,0.0,0,0.0,829.4114116387814,0.0955766031153189,10007.014498802495,984.7193294513806,366.9770460961571
