beta,hour,charge_kwh,discharge_kwh,overlap_kwh
0.0,21.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,21.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,21.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,21.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,21.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.0,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,22.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.0,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.0,23.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,13.5,211.69756235646508,0.0,0.0
0.01,13.666666666666666,211.69756235646523,0.0,0.0
0.01,13.833333333333334,211.69756235646523,0.0,0.0
0.01,14.0,211.69756235646508,0.0,0.0
0.01,14.166666666666666,174.06257594977833,0.0,0.0
0.01,14.333333333333334,141.59401018285658,0.0,0.0
0.01,14.5,91.17486439350705,0.0,0.0
0.01,14.666666666666666,51.88696591308909,0.0,0.0
0.01,14.833333333333334,11.067898661288305,0.0,0.0
0.01,15.0,-0.0,0.0,-0.0
0.01,15.166666666666666,-0.0,0.0,-0.0
0.01,15.333333333333334,-0.0,0.0,-0.0
0.01,15.5,-0.0,0.0,-0.0
0.01,15.666666666666666,-0.0,0.0,-0.0
0.01,15.833333333333334,-0.0,0.0,-0.0
0.01,16.0,-0.0,0.0,-0.0
0.01,16.166666666666668,-0.0,0.0,-0.0
0.01,16.333333333333332,-0.0,0.0,-0.0
0.01,16.5,-0.0,0.0,-0.0
0.01,16.666666666666668,-0.0,0.0,-0.0
0.01,16.833333333333332,-0.0,0.0,-0.0
0.01,17.0,-0.0,0.0,-0.0
0.01,17.166666666666668,-0.0,0.0,-0.0
0.01,17.333333333333332,-0.0,0.0,-0.0
0.01,17.5,0.0,115.32323723784378,0.0
0.01,17.666666666666668,0.0,281.9899039045104,0.0
0.01,17.833333333333332,0.0,448.6565705711771,0.0
0.01,18.0,0.0,472.6104806536713,0.0
0.01,18.166666666666668,0.0,485.71482011980345,0.0
0.01,18.333333333333332,0.0,498.17634332955106,0.0
0.01,18.5,0.0,502.5954865092816,0.0
0.01,18.666666666666668,0.0,518.1595510159909,0.0
0.01,18.833333333333332,0.0,523.2500044375696,0.0
0.01,19.0,0.0,476.1304255789567,0.0
0.01,19.166666666666668,0.0,441.62619519169806,0.0
0.01,19.333333333333332,0.0,448.3848126096623,0.0
0.01,19.5,0.0,467.9630294127033,0.0
0.01,19.666666666666668,0.0,490.09280658991975,0.0
0.01,19.833333333333332,0.0,506.4322610583125,0.0
0.01,20.0,0.0,506.0355824279892,0.0
0.01,20.166666666666668,0.0,498.48120446374696,0.0
0.01,20.333333333333332,0.0,488.5578561804583,0.0
0.01,20.5,0.0,479.0596966640285,0.0
0.01,20.666666666666668,0.0,312.3930299973618,0.0
0.01,20.833333333333332,0.0,145.72636333069516,0.0
0.01,21.0,0.0,-0.0,0.0
0.01,21.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,21.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,21.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,21.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,21.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.0,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,22.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.0,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.166666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.333333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.5,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.666666666666668,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.01,23.833333333333332,0.0,-3.789561257387201e-14,-3.789561257387201e-14
0.1,13.5,211.69756235646315,0.0,0.0
0.1,13.666666666666666,211.69756235646318,0.0,0.0
0.1,13.833333333333334,211.69756235646318,0.0,0.0
0.1,14.0,211.69756235646318,0.0,0.0
0.1,14.166666666666666,174.06257594977833,0.0,0.0
0.1,14.333333333333334,141.59401018285658,0.0,0.0
0.1,14.5,91.17486439350705,0.0,0.0
0.1,14.666666666666666,51.88696591308909,0.0,0.0
0.1,14.833333333333334,11.067898661288305,0.0,0.0
0.1,15.0,-0.0,0.0,-0.0
0.1,15.166666666666666,-0.0,0.0,-0.0
0.1,15.333333333333334,-0.0,0.0,-0.0
0.1,15.5,-0.0,0.0,-0.0
0.1,15.666666666666666,-0.0,0.0,-0.0
0.1,15.833333333333334,-0.0,0.0,-0.0
0.1,16.0,-0.0,0.0,-0.0
0.1,16.166666666666668,-0.0,0.0,-0.0
0.1,16.333333333333332,-0.0,0.0,-0.0
0.1,16.5,-0.0,0.0,-0.0
0.1,16.666666666666668,-0.0,0.0,-0.0
0.1,16.833333333333332,-0.0,0.0,-0.0
0.1,17.0,-0.0,0.0,-0.0
0.1,17.166666666666668,-0.0,0.0,-0.0
0.1,17.333333333333332,-0.0,0.0,-0.0
0.1,17.5,0.0,115.32323723784378,0.0
0.1,17.666666666666668,0.0,281.9899039045104,0.0
0.1,17.833333333333332,0.0,448.6565705711771,0.0
0.1,18.0,0.0,472.6104806536713,0.0
0.1,18.166666666666668,0.0,485.71482011980345,0.0
0.1,18.333333333333332,0.0,498.17634332955106,0.0
0.1,18.5,0.0,502.5954865092816,0.0
0.1,18.666666666666668,0.0,518.1595510159909,0.0
0.1,18.833333333333332,0.0,523.2500044375696,0.0
0.1,19.0,0.0,476.1304255789567,0.0
0.1,19.166666666666668,0.0,441.62619519169806,0.0
0.1,19.333333333333332,0.0,448.3848126096623,0.0
0.1,19.5,0.0,467.9630294127033,0.0
0.1,19.666666666666668,0.0,490.09280658991975,0.0
0.1,19.833333333333332,0.0,506.4322610583125,0.0
0.1,20.0,0.0,506.0355824279892,0.0
0.1,20.166666666666668,0.0,498.48120446374696,0.0
0.1,20.333333333333332,0.0,488.5578561804583,0.0
0.1,20.5,0.0,479.0596966640285,0.0
0.1,20.666666666666668,0.0,312.3930299973618,0.0
0.1,20.833333333333332,0.0,145.72636333069516,0.0
0.1,21.0,0.0,-0.0,0.0
0.1,21.166666666666668,0.0,-0.0,0.0
0.1,21.333333333333332,0.0,-0.0,0.0
0.1,21.5,0.0,-0.0,0.0
0.1,21.666666666666668,0.0,-0.0,0.0
0.1,21.833333333333332,0.0,-0.0,0.0
0.1,22.0,0.0,-0.0,0.0
0.1,22.166666666666668,0.0,-0.0,0.0
0.1,22.333333333333332,0.0,-0.0,0.0
0.1,22.5,0.0,-0.0,0.0
0.1,22.666666666666668,0.0,0.0,0.0
0.1,22.833333333333332,0.0,0.0,0.0
0.1,23.0,0.0,0.0,0.0
0.1,23.166666666666668,0.0,0.0,0.0
0.1,23.333333333333332,0.0,0.0,0.0
0.1,23.5,0.0,0.0,0.0
0.1,23.666666666666668,0.0,0.0,0.0
0.1,23.833333333333332,0.0,0.0,0.0
