date,period,start_slot,end_slot_exclusive,emergency_kwh
2025-06-04,22:20-24:00,134.0,144.0,543.2423303781814
2025-06-05,18:50-19:10,113.0,115.0,114.05420688618835
2025-06-05,20:00-21:00,120.0,126.0,1378.3302086011743
2025-06-05,21:30-22:00,129.0,132.0,97.82171969048927
2025-06-05,22:10-24:00,133.0,144.0,725.6433973970816
2025-06-06,19:50-22:00,119.0,132.0,3513.8978577636763
2025-06-06,22:10-22:30,133.0,135.0,92.65883123984389
2025-06-06,22:50-24:00,137.0,144.0,385.7432449493094
2025-06-07,20:20-20:40,122.0,124.0,668.9788473591724
2025-06-07,21:30-22:00,129.0,132.0,113.03390934375615
2025-06-07,22:10-23:00,133.0,138.0,229.290458233214
2025-06-07,23:30-23:40,141.0,142.0,50.96214578214212
2025-06-08,无,,,0.0
2025-06-09,无,,,0.0
2025-06-10,无,,,0.0
2025-06-11,10:10-10:40,61.0,64.0,340.90393995334847
2025-06-12,无,,,0.0
2025-06-13,无,,,0.0
2025-06-14,无,,,0.0
2025-06-15,无,,,0.0
2025-06-16,无,,,0.0
2025-06-17,无,,,0.0
2025-06-18,无,,,0.0
2025-06-19,19:10-19:30,115.0,117.0,37.90170066488565
2025-06-20,无,,,0.0
2025-06-21,无,,,0.0
2025-06-22,无,,,0.0
2025-06-23,无,,,0.0
2025-06-24,10:00-10:50,60.0,65.0,849.5683841115521
2025-06-25,无,,,0.0
2025-06-26,无,,,0.0
2025-06-27,无,,,0.0
2025-06-28,无,,,0.0
2025-06-29,无,,,0.0
2025-06-30,无,,,0.0
2025-07-01,18:50-22:00,113.0,132.0,1480.063759893656
2025-07-01,22:10-24:00,133.0,144.0,922.2821692578689
2025-07-02,18:50-19:30,113.0,117.0,218.76871801770517
2025-07-02,19:40-21:40,118.0,130.0,1861.671153811902
2025-07-02,22:10-24:00,133.0,144.0,673.9752035667897
2025-07-03,08:20-10:20,50.0,62.0,1893.877511816205
2025-07-03,18:50-19:00,113.0,114.0,54.081806955776756
2025-07-03,19:20-19:30,116.0,117.0,2.373206476459586
2025-07-03,19:50-22:00,119.0,132.0,3636.3641370955256
2025-07-03,22:10-24:00,133.0,144.0,664.4574943820288
2025-07-04,06:00-07:20,36.0,44.0,1271.1109973827565
2025-07-04,20:20-21:20,122.0,128.0,1161.8242190742917
2025-07-04,21:30-22:00,129.0,132.0,140.73454153345733
2025-07-04,22:10-24:00,133.0,144.0,655.9031533120447
2025-07-05,06:20-07:30,38.0,45.0,723.5725568054231
2025-07-05,20:10-21:10,121.0,127.0,1570.9985593150395
2025-07-05,21:20-21:50,128.0,131.0,145.37890069281264
2025-07-05,22:20-24:00,134.0,144.0,415.33140815242007
2025-07-06,09:10-09:40,55.0,58.0,183.17539470876198
2025-07-06,09:50-10:10,59.0,61.0,155.98415971024656
2025-07-06,18:50-19:50,113.0,119.0,286.6342186353502
2025-07-06,20:00-21:30,120.0,129.0,3284.5893091411776
2025-07-06,21:50-22:00,131.0,132.0,67.24561806396633
2025-07-06,22:10-23:00,133.0,138.0,433.5196136466873
2025-07-06,23:20-24:00,140.0,144.0,206.79664657438124
2025-07-07,19:00-19:20,114.0,116.0,57.984792106715304
2025-07-07,19:40-22:00,118.0,132.0,808.1730147260051
2025-07-07,22:10-22:40,133.0,136.0,226.7917310898638
2025-07-08,无,,,0.0
2025-07-09,无,,,0.0
2025-07-10,无,,,0.0
2025-07-11,无,,,0.0
2025-07-12,无,,,0.0
2025-07-13,无,,,0.0
2025-07-14,无,,,0.0
2025-07-15,无,,,0.0
2025-07-16,无,,,0.0
2025-07-17,无,,,0.0
2025-07-18,无,,,0.0
2025-07-19,无,,,0.0
2025-07-20,无,,,0.0
2025-07-21,无,,,0.0
2025-07-22,无,,,0.0
2025-07-23,无,,,0.0
2025-07-24,无,,,0.0
2025-07-25,无,,,0.0
2025-07-26,无,,,0.0
2025-07-27,无,,,0.0
2025-07-28,无,,,0.0
2025-07-29,18:50-19:00,113.0,114.0,2.2790275547650936
2025-07-30,无,,,0.0
2025-07-31,无,,,0.0
2025-08-01,无,,,0.0
2025-08-02,无,,,0.0
2025-08-03,19:40-20:00,118.0,120.0,14.336289872930024
2025-08-03,22:30-22:50,135.0,137.0,103.24504622573357
2025-08-04,18:50-19:00,113.0,114.0,9.414174555169893
2025-08-05,无,,,0.0
2025-08-06,20:30-20:40,123.0,124.0,208.97785522760876
2025-08-06,21:10-21:20,127.0,128.0,0.12575857802576706
2025-08-07,无,,,0.0
2025-08-08,无,,,0.0
2025-08-09,无,,,0.0
2025-08-10,20:20-20:40,122.0,124.0,10.663968044841795
2025-08-11,19:10-19:30,115.0,117.0,45.1508044364781
2025-08-12,19:10-19:30,115.0,117.0,59.9651777563015
2025-08-13,18:50-19:00,113.0,114.0,28.316847991143277
2025-08-13,19:20-19:30,116.0,117.0,68.02560333807617
2025-08-14,19:00-19:10,114.0,115.0,10.357120211150459
2025-08-14,20:30-21:20,123.0,128.0,191.2776544590397
2025-08-15,无,,,0.0
2025-08-16,无,,,0.0
2025-08-17,19:10-19:20,115.0,116.0,6.56302473116466
2025-08-17,19:30-19:40,117.0,118.0,0.3645140641069702
2025-08-18,20:20-20:30,122.0,123.0,19.88319447633876
2025-08-19,无,,,0.0
2025-08-20,08:50-09:30,53.0,57.0,516.7332613056567
2025-08-20,19:40-20:00,118.0,120.0,28.76756843887165
2025-08-21,无,,,0.0
2025-08-22,无,,,0.0
2025-08-23,无,,,0.0
2025-08-24,无,,,0.0
2025-08-25,无,,,0.0
2025-08-26,无,,,0.0
2025-08-27,无,,,0.0
2025-08-28,18:50-19:00,113.0,114.0,25.647639976097253
2025-08-28,19:50-20:00,119.0,120.0,0.09411108291851633
2025-08-29,无,,,0.0
2025-08-30,无,,,0.0
2025-08-31,无,,,0.0
2025-09-01,无,,,0.0
2025-09-02,无,,,0.0
2025-09-03,无,,,0.0
2025-09-04,无,,,0.0
2025-09-05,无,,,0.0
2025-09-06,无,,,0.0
2025-09-07,无,,,0.0
2025-09-08,20:30-20:40,123.0,124.0,707.7849773730139
2025-09-08,21:40-21:50,130.0,131.0,10.24453772611269
2025-09-09,无,,,0.0
2025-09-10,08:50-09:40,53.0,58.0,420.57827481536856
2025-09-11,无,,,0.0
2025-09-12,无,,,0.0
2025-09-13,无,,,0.0
2025-09-14,无,,,0.0
2025-09-15,无,,,0.0
2025-09-16,无,,,0.0
2025-09-17,无,,,0.0
2025-09-18,无,,,0.0
2025-09-19,无,,,0.0
2025-09-20,无,,,0.0
2025-09-21,无,,,0.0
2025-09-22,无,,,0.0
2025-09-23,20:10-20:20,121.0,122.0,0.09012232427937761
2025-09-24,无,,,0.0
2025-09-25,无,,,0.0
2025-09-26,无,,,0.0
2025-09-27,无,,,0.0
2025-09-28,09:20-09:50,56.0,59.0,92.78265669563802
2025-09-29,无,,,0.0
2025-09-30,无,,,0.0
2025-10-01,无,,,0.0
2025-10-02,无,,,0.0
2025-10-03,无,,,0.0
2025-10-04,无,,,0.0
2025-10-05,无,,,0.0
2025-10-06,无,,,0.0
2025-10-07,无,,,0.0
2025-10-08,无,,,0.0
2025-10-09,无,,,0.0
2025-10-10,无,,,0.0
2025-10-11,无,,,0.0
2025-10-12,无,,,0.0
2025-10-13,无,,,0.0
2025-10-14,无,,,0.0
2025-10-15,无,,,0.0
2025-10-16,20:30-20:40,123.0,124.0,93.9130581412154
2025-10-17,无,,,0.0
2025-10-18,无,,,0.0
2025-10-19,无,,,0.0
2025-10-20,无,,,0.0
2025-10-21,无,,,0.0
2025-10-22,无,,,0.0
2025-10-23,无,,,0.0
2025-10-24,无,,,0.0
2025-10-25,无,,,0.0
2025-10-26,无,,,0.0
2025-10-27,无,,,0.0
2025-10-28,无,,,0.0
2025-10-29,无,,,0.0
2025-10-30,无,,,0.0
2025-10-31,无,,,0.0
2025-11-01,无,,,0.0
2025-11-02,09:10-10:00,55.0,60.0,762.6014556286937
2025-11-02,20:30-21:00,123.0,126.0,38.25965960640235
2025-11-03,无,,,0.0
2025-11-04,05:50-06:10,35.0,37.0,20.32297201491815
2025-11-04,20:30-20:40,123.0,124.0,74.02130194431311
2025-11-05,无,,,0.0
2025-11-06,09:10-10:40,55.0,64.0,1612.6394470729524
2025-11-07,无,,,0.0
2025-11-08,无,,,0.0
2025-11-09,无,,,0.0
2025-11-10,09:30-10:50,57.0,65.0,469.00534057347727
2025-11-10,20:30-20:40,123.0,124.0,87.73346051036174
2025-11-10,20:50-21:00,125.0,126.0,17.817943888409516
2025-11-10,21:40-21:50,130.0,131.0,10.09776299286442
2025-11-11,无,,,0.0
2025-11-12,06:20-06:30,38.0,39.0,6.253900251762957
2025-11-13,无,,,0.0
2025-11-14,无,,,0.0
2025-11-15,无,,,0.0
2025-11-16,无,,,0.0
2025-11-17,无,,,0.0
2025-11-18,无,,,0.0
2025-11-19,10:00-10:40,60.0,64.0,345.8608119664325
2025-11-20,无,,,0.0
2025-11-21,无,,,0.0
2025-11-22,无,,,0.0
2025-11-23,无,,,0.0
2025-11-24,06:00-06:10,36.0,37.0,12.795830700975557
2025-11-25,无,,,0.0
2025-11-26,06:00-06:10,36.0,37.0,32.35046668976952
2025-11-27,无,,,0.0
2025-11-28,无,,,0.0
2025-11-29,无,,,0.0
2025-11-30,无,,,0.0
2025-12-01,05:50-06:10,35.0,37.0,129.98296646128222
2025-12-01,06:20-06:30,38.0,39.0,9.792307456614026
2025-12-01,07:50-08:10,47.0,49.0,79.42414792617694
2025-12-01,09:10-10:50,55.0,65.0,3314.116944725783
2025-12-02,05:50-06:10,35.0,37.0,51.04054712968741
2025-12-02,07:50-08:10,47.0,49.0,79.8112706757347
2025-12-02,09:50-10:50,59.0,65.0,1606.7549330102615
2025-12-03,无,,,0.0
2025-12-04,08:00-08:20,48.0,50.0,54.69084012204394
2025-12-04,10:10-10:40,61.0,64.0,557.8782291798525
2025-12-05,无,,,0.0
2025-12-06,无,,,0.0
2025-12-07,05:50-06:00,35.0,36.0,35.425343684240374
2025-12-07,07:50-08:00,47.0,48.0,39.49054206098015
2025-12-08,无,,,0.0
2025-12-09,无,,,0.0
2025-12-10,无,,,0.0
2025-12-11,无,,,0.0
2025-12-12,无,,,0.0
2025-12-13,无,,,0.0
2025-12-14,无,,,0.0
2025-12-15,无,,,0.0
2025-12-16,无,,,0.0
2025-12-17,无,,,0.0
2025-12-18,10:30-10:40,63.0,64.0,169.39428147902163
2025-12-19,无,,,0.0
2025-12-20,无,,,0.0
2025-12-21,无,,,0.0
2025-12-22,无,,,0.0
2025-12-23,无,,,0.0
2025-12-24,无,,,0.0
2025-12-25,06:00-06:10,36.0,37.0,17.372148730851904
2025-12-26,无,,,0.0
2025-12-27,无,,,0.0
2025-12-28,07:50-08:00,47.0,48.0,11.662728546248218
2025-12-29,无,,,0.0
2025-12-30,无,,,0.0
2025-12-31,无,,,0.0
