day,date,total_cost,planned_cost,emergency_cost,initial_soc,final_soc
96,2025-04-07,37036.07415027942,37026.98039513366,9.093755145770826,2012.3301857007277,2464.3338367976453
97,2025-04-08,37164.81526824875,37070.11130268109,94.70396556765932,2464.3338367976453,1771.966746419037
98,2025-04-09,38019.49298719649,37918.257937551476,101.2350496450182,1771.966746419037,1760.300513550578
99,2025-04-10,37203.78823644089,37168.181650454346,35.60658598653622,1760.300513550578,1784.7926998091407
100,2025-04-11,12123.301199730291,12123.301199730291,0.0,1784.7926998091407,6062.025657428019
101,2025-04-12,10267.458164842641,10267.458164842643,0.0,6062.025657428019,5957.02346468413
102,2025-04-13,34622.95669198528,34512.70235903554,110.25433294973178,5957.02346468413,2732.263192954333
103,2025-04-14,34863.49126791944,34863.49126791944,0.0,2732.263192954333,2476.0333769050326
104,2025-04-15,35333.26751280826,35331.5393140392,1.7281987690643184,2476.0333769050326,2526.9962380615534
105,2025-04-16,35857.06011082626,35857.06011082626,0.0,2526.9962380615534,2222.119852853457
106,2025-04-17,34980.30738931413,34980.30738931413,0.0,2222.119852853457,1976.0644416951586
107,2025-04-18,11367.094020620732,11359.882403293632,7.211617327099829,1976.0644416951586,6349.932940952963
108,2025-04-19,10071.486795159904,10071.486795159904,0.0,6349.932940952963,6179.323449667124
109,2025-04-20,32849.80658342744,32845.79214739428,4.014436033162997,6179.323449667124,2567.0531644396774
110,2025-04-21,33889.37560206763,33889.37560206762,0.0,2567.0531644396774,2239.1713338753902
111,2025-04-22,34095.39502042421,33491.58583923068,603.8091811935225,2239.1713338753902,1888.7197117023873
112,2025-04-23,35131.40456880609,35085.77542755748,45.6291412486169,1888.7197117023873,2473.6549571404103
113,2025-04-24,33778.263396551425,33778.263396551425,0.0,2473.6549571404103,2136.879864660703
114,2025-04-25,10599.188625831295,10599.188625831295,0.0,2136.879864660703,5968.441548098615
115,2025-04-26,11374.3322567339,9399.693129281095,1974.6391274528048,5968.441548098615,5662.408630071994
116,2025-04-27,31780.98813142303,31229.90483147119,551.0832999518412,5662.408630071994,2819.9228833209218
117,2025-04-28,52464.31640940494,32686.236595832266,19778.079813572673,2819.9228833209218,1748.2640057165509
118,2025-04-29,33951.17204785994,33865.15031440428,86.02173345565697,1748.2640057165509,2269.591118514838
119,2025-04-30,33033.24302651099,33033.24302651099,0.0,2269.591118514838,1729.446168056158
120,2025-05-01,45819.5554408143,32700.163571414127,13119.39186940017,1729.446168056158,1200.0
121,2025-05-02,20866.527307457764,12311.807968272678,8554.719339185089,1200.0,6117.8846134340465
122,2025-05-03,13643.0141660608,11385.029091597891,2257.9850744629093,6117.8846134340465,6324.726249097008
123,2025-05-04,36634.314487053845,35751.6359003643,882.6785866895407,6324.726249097008,4107.591321186399
124,2025-05-05,36961.643947517645,35582.99009504737,1378.6538524702778,4107.591321186399,2238.9232512678154
125,2025-05-06,36142.39263217611,35833.078233177046,309.31439899906366,2238.9232512678154,1673.6666290870867
126,2025-05-07,39284.650404901186,37996.07891233247,1288.5714925687207,1673.6666290870867,2177.9490524841735
127,2025-05-08,40000.39076109001,39484.85810613204,515.5326549579821,2177.9490524841735,3501.440223751607
128,2025-05-09,13917.33378409307,13917.333784093073,0.0,3501.440223751607,7636.316359040466
129,2025-05-10,12400.31550174325,12400.315501743247,0.0,7636.316359040466,6710.377192826668
130,2025-05-11,36575.9926450153,36009.04073262165,566.9519123936466,6710.377192826668,2808.6881333693864
131,2025-05-12,38161.12504687154,38161.12504687154,0.0,2808.6881333693864,3181.1526763367756
132,2025-05-13,37744.47759092276,37744.47759092276,0.0,3181.1526763367756,3577.8860417107185
133,2025-05-14,35918.6634909569,35918.6634909569,0.0,3577.8860417107185,2884.3733402111675
134,2025-05-15,37720.0486929107,37328.07881970621,391.96987320448466,2884.3733402111675,3395.325138416756
135,2025-05-16,13535.416006357746,13470.00135105407,65.41465530367526,3395.325138416756,7645.47127115825
136,2025-05-17,12246.443567573811,12005.976627954666,240.46693961914536,7645.47127115825,6635.029592076177
137,2025-05-18,34567.95569263927,34543.55932522791,24.396367411360302,6635.029592076177,3648.5954133702926
138,2025-05-19,36080.05492244777,35587.25235599838,492.8025664493907,3648.5954133702926,3270.378822351362
139,2025-05-20,35263.27516129907,35114.161846697905,149.1133146011682,3270.378822351362,2594.7849577259226
140,2025-05-21,37155.65448963484,37155.65448963484,0.0,2594.7849577259226,2588.9262587538988
141,2025-05-22,35515.79343497363,35503.625801193484,12.167633780141884,2588.9262587538988,3199.74994013193
142,2025-05-23,13170.843441512545,13170.843441512545,0.0,3199.74994013193,6994.518920960059
143,2025-05-24,12508.298957378587,12508.298957378587,0.0,6994.518920960059,7403.443311816389
144,2025-05-25,33005.98827153676,32982.78814768318,23.20012385358218,7403.443311816389,3004.4247935268068
145,2025-05-26,36644.33000357461,36644.3300035746,0.0,3004.4247935268068,3492.218633488775
146,2025-05-27,34948.24085261212,34912.783307395075,35.45754521704903,3492.218633488775,3256.7064793025215
147,2025-05-28,35971.27624151791,35760.51037177349,210.76586974441773,3256.7064793025215,3274.967402220449
148,2025-05-29,35745.93067086682,35710.77786456872,35.15280629810202,3274.967402220449,3188.2393136880505
149,2025-05-30,13440.332890043137,13366.628595210834,73.70429483230183,3188.2393136880505,7528.395878716789
150,2025-05-31,11268.566093027246,11233.104065699594,35.46202732765392,7528.395878716789,7675.999397174344
151,2025-06-01,123343.74074949996,36120.46371724493,87223.27703225502,7675.999397174344,1200.0
152,2025-06-02,63097.38085215505,46918.50813519118,16178.872716963877,1200.0,1897.664570661952
153,2025-06-03,49525.498531734804,49380.08963322727,145.4088985075404,1897.664570661952,1641.5845540038265
154,2025-06-04,50729.90890039342,49910.5343664018,819.3745339916172,1641.5845540038265,1620.4384349561517
155,2025-06-05,52811.43538221263,52459.762298083035,351.6730841295869,1620.4384349561517,1946.2379430595824
156,2025-06-06,31655.30148551931,17694.084967719737,13961.216517799574,1946.2379430595824,3077.8496635023694
157,2025-06-07,22149.550156176854,17202.736220180548,4946.813935996305,3077.8496635023694,5254.876979233029
158,2025-06-08,60316.982789977665,60299.317072115686,17.665717861977416,5254.876979233029,6398.461815252115
159,2025-06-09,55549.5061892517,55549.50618925169,0.0,6398.461815252115,5700.473904309901
160,2025-06-10,54985.471578249235,54985.471578249235,0.0,5700.473904309901,5248.878595943396
161,2025-06-11,61359.68707670731,53131.91338988154,8227.773686825778,5248.878595943396,2605.6306848280196
162,2025-06-12,59822.74854247424,59772.375893255,50.37264921924933,2605.6306848280196,6093.330741907418
163,2025-06-13,19801.988992550312,19801.988992550312,0.0,6093.330741907418,4959.6650682270565
164,2025-06-14,21039.4348000373,21039.4348000373,0.0,4959.6650682270565,6160.986579575966
165,2025-06-15,56141.41914618279,56141.419146182794,0.0,6160.986579575966,4913.0630777061215
166,2025-06-16,56879.82348145951,56503.18176119873,376.641720260777,4913.0630777061215,5573.851616318539
167,2025-06-17,55929.08787775918,55800.09382011058,128.99405764860148,5573.851616318539,4940.975504562877
168,2025-06-18,56258.888177180816,56258.88817718081,0.0,4940.975504562877,5552.253239311358
169,2025-06-19,55435.41387333093,55435.41387333092,0.0,5552.253239311358,5633.261910914919
170,2025-06-20,19868.87363621525,19868.87363621525,0.0,5633.261910914919,5377.695940463825
171,2025-06-21,17457.050612074105,17457.050612074105,0.0,5377.695940463825,4870.068126989169
172,2025-06-22,51845.07062311898,51841.0255865302,4.045036588778429,4870.068126989169,5719.708214376977
173,2025-06-23,51641.010687184986,51641.010687184986,0.0,5719.708214376977,4789.5194776393255
174,2025-06-24,70237.32651886492,52768.920113121516,17468.406405743415,4789.5194776393255,2096.892544602536
175,2025-06-25,55070.95509824455,54802.22299812734,268.73210011720033,2096.892544602536,5285.436044222641
176,2025-06-26,52884.48295171128,52884.482951711274,0.0,5285.436044222641,5076.874577579506
177,2025-06-27,18198.031777639662,18198.031777639662,0.0,5076.874577579506,5190.849939339138
178,2025-06-28,17091.786767869446,17083.42589297413,8.36087489531112,5190.849939339138,5495.0501981055495
179,2025-06-29,53152.38028650595,53078.611504752545,73.76878175340005,5495.0501981055495,4960.118792524406
180,2025-06-30,51510.591344454646,50858.220740688106,652.3706037665327,4960.118792524406,3874.363709381517
181,2025-07-01,80241.48132683113,55334.31352231917,24907.16780451195,3874.363709381517,1200.0
182,2025-07-02,68579.46215568674,67809.29947529273,770.1626803940165,1200.0,3069.6886638833125
183,2025-07-03,65486.09193816126,64610.751156557875,875.3407816033808,3069.6886638833125,2191.3799933252394
184,2025-07-04,26230.34960234267,26227.405480572932,2.9441217697356374,2191.3799933252394,3777.5918278336544
185,2025-07-05,32784.67713802073,20694.862943449778,12089.81419457095,3777.5918278336544,2146.6984170704213
186,2025-07-06,73017.63569755081,61692.073102020804,11325.562595529997,2146.6984170704213,1802.2352466817792
187,2025-07-07,66981.84784060049,66819.40044097087,162.44739962959977,1802.2352466817792,3854.06612760527
188,2025-07-08,66864.84797623614,65523.48244849205,1341.365527744097,3854.06612760527,5007.972585733808
189,2025-07-09,63820.91874307095,63820.91874307095,0.0,5007.972585733808,5165.282404739944
190,2025-07-10,61429.597577385575,60330.65903426389,1098.9385431216906,5165.282404739944,3754.9321706907454
191,2025-07-11,29316.230810753517,29316.230810753514,0.0,3754.9321706907454,4598.965129818163
192,2025-07-12,25109.688235353326,24921.197015972295,188.4912193810305,4598.965129818163,3388.2184727355498
193,2025-07-13,57798.744364694896,57540.60707585686,258.1372888380311,3388.2184727355498,2639.917225065577
194,2025-07-14,60690.00512558111,60586.94159004353,103.0635355375865,2639.917225065577,3974.4710233744354
195,2025-07-15,58550.88362809333,58146.274299375276,404.6093287180503,3974.4710233744354,3723.6789292433446
196,2025-07-16,60139.69959331705,58451.1644774204,1688.5351158966416,3723.6789292433446,3430.254888512634
197,2025-07-17,60622.38637660524,58575.41520678495,2046.9711698202855,3430.254888512634,2184.67686459631
198,2025-07-18,28354.941658232707,28354.941658232703,0.0,2184.67686459631,4176.046428811485
199,2025-07-19,24184.22438750814,24143.5176618317,40.70672567644036,4176.046428811485,3117.48732183093
200,2025-07-20,56408.833722404044,55940.144761852265,468.6889605517832,3117.48732183093,3144.0369652710283
201,2025-07-21,61138.40847691884,61055.81185337786,82.59662354098229,3144.0369652710283,3610.7083214068393
202,2025-07-22,60163.74392003022,58008.71777681269,2155.026143217523,3610.7083214068393,2461.405571902941
203,2025-07-23,59357.40579363669,58869.55916174672,487.84663188997035,2461.405571902941,2661.2024863890047
204,2025-07-24,60196.16084710642,58514.009712916886,1682.1511341895211,2661.2024863890047,3129.1038046346644
205,2025-07-25,26334.856123702044,26297.775044738966,37.08107896307884,3129.1038046346644,4037.824232440994
206,2025-07-26,24820.645144691756,24820.645144691756,0.0,4037.824232440994,4133.790911018036
207,2025-07-27,64572.36051608224,54280.26521576234,10292.095300319905,4133.790911018036,1718.1890494308745
208,2025-07-28,62158.48137215531,60840.90002353277,1317.581348622522,1718.1890494308745,1966.2384263123906
209,2025-07-29,60402.09182478266,59803.318737261194,598.7730875214648,1966.2384263123906,2733.564441044417
210,2025-07-30,59177.303532167134,58964.526231314914,212.77730085223178,2733.564441044417,2362.5542446377813
211,2025-07-31,58488.66647219204,58460.011204463706,28.655267728326056,2362.5542446377813,2078.284871571336
212,2025-08-01,24002.832981556305,24002.832981556312,0.0,2078.284871571336,2461.0081758980746
213,2025-08-02,22326.30537863452,22326.30537863452,0.0,2461.0081758980746,2455.53055959242
214,2025-08-03,57091.401706945006,51596.02556415168,5495.376142793339,2455.53055959242,1200.0
215,2025-08-04,54991.8645944703,54991.86459447031,0.0,1200.0,2580.8561435619918
216,2025-08-05,51339.26049940727,50082.238643780045,1257.0218556272152,2580.8561435619918,1343.9251822603662
217,2025-08-06,60340.12856822148,51993.05570825515,8347.072859966327,1343.9251822603662,1219.3505104880683
218,2025-08-07,52182.0939629377,51254.81034974958,927.2836131881115,1219.3505104880683,1571.538915169783
219,2025-08-08,23413.487655351375,23316.448400333335,97.03925501804014,1571.538915169783,3061.570695845968
220,2025-08-09,21999.289246000975,20102.524514980665,1896.7647310203088,3061.570695845968,1412.9232968184474
221,2025-08-10,51691.89582240729,51644.38132495216,47.51449745513812,1412.9232968184474,2027.372279679396
222,2025-08-11,51246.84346520799,50168.74762476329,1078.0958404447022,2027.372279679396,1793.1107181255602
223,2025-08-12,55227.708158041314,52665.00252695923,2562.7056310820817,1793.1107181255602,2007.565501342698
224,2025-08-13,51633.16827503081,51633.16827503082,0.0,2007.565501342698,2112.3547840639
225,2025-08-14,51976.489935736165,51513.689138776055,462.80079696011035,2112.3547840639,2006.6319092993904
226,2025-08-15,21749.682281043213,21445.59143420375,304.0908468394656,2006.6319092993904,1879.732717834205
227,2025-08-16,22182.649853628063,21339.02288880338,843.6269648246838,1879.732717834205,1887.5639598717135
228,2025-08-17,51095.318298977596,50843.76198878208,251.55631019552692,1887.5639598717135,1994.5747543250625
229,2025-08-18,52989.03195648611,52737.64455572406,251.38740076205616,1994.5747543250625,2784.8524569551223
230,2025-08-19,51329.21301636305,51201.33888266125,127.8741337018006,2784.8524569551223,1891.744690536875
231,2025-08-20,79724.9591340202,52038.56295408371,27686.396179936495,1891.744690536875,1615.4799834189155
232,2025-08-21,51835.10110308268,51821.252593249024,13.848509833656811,1615.4799834189155,1587.5967454320212
233,2025-08-22,24346.052034971508,23249.551057571385,1096.5009774001244,1587.5967454320212,1952.0377552825464
234,2025-08-23,21218.123422525437,20990.050461700204,228.07296082523294,1952.0377552825464,1520.3322715536974
235,2025-08-24,52897.06276899204,52862.38481781051,34.67795118152591,1520.3322715536974,1816.841171940692
236,2025-08-25,55283.05882806468,55227.93794082962,55.12088723506479,1816.841171940692,2579.44638786289
237,2025-08-26,52504.676422041586,52399.6119823307,105.0644397108853,2579.44638786289,2073.2243682569915
238,2025-08-27,53177.13279847223,52487.242043185564,689.8907552866723,2073.2243682569915,1801.506635631083
239,2025-08-28,55743.20292494289,54373.02498694967,1370.1779379932188,1801.506635631083,1926.1968384191146
240,2025-08-29,21833.151697348767,21779.24939407415,53.90230327461103,1926.1968384191146,1533.6991640000065
241,2025-08-30,22989.585943472208,22974.572076647804,15.01386682440802,1533.6991640000065,1949.1529596259047
242,2025-08-31,52492.79689637356,52492.79689637357,0.0,1949.1529596259047,1916.348686593004
243,2025-09-01,47033.72971782868,47033.72971782868,0.0,1916.348686593004,4738.823836999637
244,2025-09-02,39911.73091383175,39911.73091383175,0.0,4738.823836999637,4076.5599662740024
245,2025-09-03,41620.77575027829,41482.23301222683,138.54273805145374,4076.5599662740024,3547.8159393318538
246,2025-09-04,40699.63027378691,40469.54110819753,230.0891655893865,3547.8159393318538,3482.65529062619
247,2025-09-05,14893.130870106204,14893.130870106203,0.0,3482.65529062619,3975.0606269944333
248,2025-09-06,15946.228241718467,15946.228241718465,0.0,3975.0606269944333,6661.79644340542
249,2025-09-07,38418.001138717584,34105.629388527406,4312.371750190177,6661.79644340542,1975.8048092415786
250,2025-09-08,75910.10935035991,34072.415370897426,41837.69397946249,1975.8048092415786,1200.0
251,2025-09-09,41815.3527244457,40977.63023213832,837.7224923073821,1200.0,2839.4424603272646
252,2025-09-10,51432.79576411088,39578.42048315973,11854.375280951148,2839.4424603272646,1200.0
253,2025-09-11,42724.07380532268,40944.89421531683,1779.1795900058537,1200.0,3877.709643895762
254,2025-09-12,20143.8064011308,13006.119917983691,7137.68648314711,3877.709643895762,4904.425684325011
255,2025-09-13,15347.804643217047,14514.777577626974,833.0270655900738,4904.425684325011,6348.30469613176
256,2025-09-14,40550.91210434471,40534.35295442282,16.559149921882824,6348.30469613176,3691.1639119063925
257,2025-09-15,41701.05092985703,41615.84764644879,85.20328340825061,3691.1639119063925,3095.9868282219763
258,2025-09-16,42717.22673270792,42554.946662367474,162.28007034044177,3095.9868282219763,2663.097650565634
259,2025-09-17,42891.41753703664,42829.16024781877,62.25728921786749,2663.097650565634,2934.8565476416525
260,2025-09-18,41519.64368738388,41204.47145184496,315.1722355389216,2934.8565476416525,3705.3404822018374
261,2025-09-19,16051.01523726339,15262.689114040453,788.3261232229349,3705.3404822018374,6182.904142360141
262,2025-09-20,14133.062622347144,14091.77875360272,41.283868744422506,6182.904142360141,5718.427051278173
263,2025-09-21,42466.669048469674,42459.852429930004,6.816618539675132,5718.427051278173,2875.214550193159
264,2025-09-22,45505.51948843406,45162.09801317419,343.4214752598666,2875.214550193159,3186.1945088615926
265,2025-09-23,45348.17578383469,45320.37234163998,27.803442194707344,3186.1945088615926,3161.470990015712
266,2025-09-24,43170.32908413772,43080.50422980494,89.82485433278431,3161.470990015712,2633.864793791591
267,2025-09-25,44721.41345561064,44679.47771235069,41.93574325995246,2633.864793791591,3310.442037832537
268,2025-09-26,17880.53535935349,17880.53535935349,0.0,3310.442037832537,8128.136018172916
269,2025-09-27,15587.94892907353,14326.631587635338,1261.3173414381915,8128.136018172916,5857.122553617695
270,2025-09-28,45187.239928398485,45187.239928398485,0.0,5857.122553617695,4074.400167679827
271,2025-09-29,46172.76802561764,46067.43994176764,105.32808384999998,4074.400167679827,3579.383252441456
272,2025-09-30,46900.491786093684,46724.4389191614,176.05286693228277,3579.383252441456,3552.650185926881
273,2025-10-01,43541.36553038171,43541.36553038171,0.0,3552.650185926881,5992.1338483886375
274,2025-10-02,41383.75187975434,41344.85853562153,38.89334413280563,5992.1338483886375,5235.7653059704935
275,2025-10-03,13885.926288647603,13885.926288647603,0.0,5235.7653059704935,8538.968965257394
276,2025-10-04,14292.1030374248,14292.1030374248,0.0,8538.968965257394,9207.431738264608
277,2025-10-05,38623.45094552797,38604.066712695014,19.384232832963058,9207.431738264608,4750.871075948888
278,2025-10-06,40806.54751132612,40806.54751132612,0.0,4750.871075948888,4398.323212770311
279,2025-10-07,40867.61314568999,40867.61314568999,0.0,4398.323212770311,4915.497696521163
280,2025-10-08,37985.29016573495,37985.29016573495,0.0,4915.497696521163,3503.7919047164214
281,2025-10-09,39456.92357968346,39456.92357968346,0.0,3503.7919047164214,4211.928700735955
282,2025-10-10,13960.444033287615,13960.444033287615,0.0,4211.928700735955,7347.484898919202
283,2025-10-11,12546.17794636077,12546.17794636077,0.0,7347.484898919202,6000.056068013245
284,2025-10-12,38814.105803725484,38814.10580372548,0.0,6000.056068013245,4059.4586760666366
285,2025-10-13,40499.575162449306,40479.77459840706,19.800564042242502,4059.4586760666366,4891.718042509148
286,2025-10-14,39769.283887718324,38824.066611776914,945.2172759414037,4891.718042509148,1913.3629210619338
287,2025-10-15,43213.943313884214,42262.4896999841,951.4536139001161,1913.3629210619338,4138.56924470351
288,2025-10-16,43725.632194975406,42244.04815480298,1481.5840401724238,4138.56924470351,4902.270293331546
289,2025-10-17,14611.188302750415,14611.188302750415,0.0,4902.270293331546,6759.400356156958
290,2025-10-18,13309.596012917857,13074.549896448018,235.04611646983778,6759.400356156958,6458.302677412962
291,2025-10-19,43113.01355809596,41435.47991285962,1677.533645236334,6458.302677412962,2872.958766925997
292,2025-10-20,45958.64518348852,44577.32335078505,1381.3218327034756,2872.958766925997,3069.6668213949297
293,2025-10-21,45878.419191202534,45878.41919120254,0.0,3069.6668213949297,4199.00417421263
294,2025-10-22,45920.69880666687,45735.973706474746,184.72510019213564,4199.00417421263,4459.136568099808
295,2025-10-23,45685.710495176536,45685.710495176536,0.0,4459.136568099808,4063.3113280650086
296,2025-10-24,15124.454708704961,15085.200033429439,39.25467527552294,4063.3113280650086,7580.477584508111
297,2025-10-25,13591.629396872308,13512.493750382215,79.1356464900914,7580.477584508111,7373.205921066361
298,2025-10-26,44268.84321758297,44268.84321758297,0.0,7373.205921066361,3915.931346126662
299,2025-10-27,45968.368038924484,45574.25839547306,394.1096434514303,3915.931346126662,2949.546652464005
300,2025-10-28,46016.60338436575,46016.60338436575,0.0,2949.546652464005,2999.393759382301
301,2025-10-29,49910.0859340389,47115.96274504596,2794.1231889929404,2999.393759382301,2244.495639428834
302,2025-10-30,49127.82399064775,48982.33021824017,145.4937724075745,2244.495639428834,2200.354229466807
303,2025-10-31,16349.724758633318,16294.075500503024,55.649258130294555,2200.354229466807,7725.637919121212
304,2025-11-01,13648.529514683158,13640.348345001006,8.181169682147287,7725.637919121212,6827.5776758481215
305,2025-11-02,47824.22364448839,47782.45490846313,41.76873602525886,6827.5776758481215,3290.8181878295823
306,2025-11-03,50902.61076538557,50902.61076538558,0.0,3290.8181878295823,3519.96883427785
307,2025-11-04,50442.448211272094,50413.41438473534,29.033826536756287,3519.96883427785,3140.5472796963454
308,2025-11-05,50825.58119791113,50816.34493157048,9.236266340656192,3140.5472796963454,3293.2937616560453
309,2025-11-06,52311.40648279838,51172.66778452961,1138.7386982687708,3293.2937616560453,2650.5279250928543
310,2025-11-07,15719.239403909589,15719.239403909589,0.0,2650.5279250928543,6569.602856038842
311,2025-11-08,14830.541579808158,14830.541579808156,0.0,6569.602856038842,6903.30455161752
312,2025-11-09,50020.398126157896,49962.457976341495,57.94014981639678,6903.30455161752,2974.9165572425827
313,2025-11-10,53624.67337120071,53263.20608217258,361.46728902812555,2974.9165572425827,3008.586286307638
314,2025-11-11,53625.62479109104,53625.62479109104,0.0,3008.586286307638,3454.0504175526953
315,2025-11-12,53014.463661657246,53003.22287940193,11.240782255308455,3454.0504175526953,2833.137467069856
316,2025-11-13,52560.45523484737,52263.95505179463,296.50018305274295,2833.137467069856,1487.6116519553048
