scenario,date,month,total_cost,planned_cost,up_cost,emergency_cost,purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,initial_soc,final_soc,load_kwh
4-2,2025-05-09,5,13418.2830491490,13418.2830491490,0.0000000000,0.0000000000,30826.6613985232,0.0000000000,15028.1475391985,10930.7862829482,4843.1109686627,7578.0031161919,74253.8254500000
4-2,2025-05-10,5,10841.3738540456,10841.3738540456,0.0000000000,0.0000000000,22943.3281582524,0.0000000000,9386.4309679008,13472.3133761616,7578.0031161919,2281.6881970023,74647.9870500000
4-2,2025-05-11,5,38856.8028315360,38289.2502245227,0.0000000000,567.5526070133,60671.5852649734,110.4876234689,16612.4546077926,14411.5534114493,2281.6881970023,2850.5352892543,120743.0904166667
4-2,2025-05-12,5,38345.6214556126,38144.8883381004,0.0000000000,200.7331175122,60202.0630272770,63.8569080094,14792.3802709533,12717.2338369858,2850.5352892543,3478.6779034404,120448.6036166667
4-2,2025-05-13,5,37928.7415215093,37928.7415215093,0.0000000000,0.0000000000,59673.1354287490,0.0000000000,15443.0556840873,14414.5199394958,3478.6779034404,2935.0087728916,120269.6316000000
4-2,2025-05-14,5,36332.1085002260,36332.1085002260,0.0000000000,0.0000000000,57636.7617648072,0.0000000000,16778.5778710217,14916.8321461052,2935.0087728916,3128.8436787998,120592.0052666667
4-2,2025-05-15,5,37329.6968559566,37001.8301689949,0.0000000000,327.8666869616,57221.7601212036,92.3209980005,15603.1263872178,14454.3922959741,3128.8436787998,2695.0017967683,119598.3098166667
4-2,2025-05-16,5,14748.6601069908,14684.7802431732,0.0000000000,63.8798638176,35355.6302048580,14.9812063362,20273.4324839915,10929.3736799327,2695.0017967683,10407.4971792579,74681.3447500000
4-2,2025-05-17,5,9784.5516929315,9543.7812165384,0.0000000000,240.7704763931,19692.3495979513,74.7335279996,9359.9522146785,16256.3282599984,10407.4971792579,2151.4529515553,75274.5304333333
4-2,2025-05-18,5,36666.7556834021,36650.9720538532,0.0000000000,15.7836295489,57709.3446439398,7.0746882783,16516.9578098770,14398.5973783918,2151.4529515553,2643.3606845748,120687.0370000000
4-2,2025-05-19,5,36766.3014435321,36273.3753735894,0.0000000000,492.9260699428,57880.5129320560,75.4178634057,16242.9463316471,13819.6648364718,2643.3606845748,3485.5667860762,120072.3879833333
4-2,2025-05-20,5,34897.8554502302,34752.1333447663,0.0000000000,145.7221054639,55037.8934861733,31.1631647845,15472.2441278864,15507.1124823138,3485.5667860762,1817.8945813824,120437.5777166667
4-2,2025-05-21,5,37727.3468269736,37727.3468269736,0.0000000000,0.0000000000,60664.4777107644,0.0000000000,16227.5566346594,13683.6336161915,1817.8945813824,2788.8902307154,120283.0512833333
4-2,2025-05-22,5,35226.2639880420,35226.2639880420,0.0000000000,0.0000000000,56127.5558260878,0.0000000000,15496.2237662561,14516.5539811889,2788.8902307154,2188.1074481687,119729.6800166667
4-2,2025-05-23,5,11993.4870776833,11993.4870776833,0.0000000000,0.0000000000,27010.9352878964,0.0000000000,10053.1094707007,8750.0872362478,2188.1074481687,2501.9226992589,74983.3843833333
4-2,2025-05-24,5,12565.2999331857,12565.2999331857,0.0000000000,0.0000000000,27495.9857319074,0.0000000000,9760.5473523736,8417.7529418227,2501.9226992589,2888.5002600394,74693.8178166667
4-2,2025-05-25,5,35070.9697891912,34837.8440988276,0.0000000000,233.1256903636,55076.5477762869,45.7162734510,14757.3303699892,14206.9860163644,2888.5002600394,1913.0549399039,120319.8776000000
4-2,2025-05-26,5,37221.3293277627,37221.3293277627,0.0000000000,0.0000000000,59988.0371306469,0.0000000000,18600.2910367647,15525.5427448663,1913.0549399039,3193.4813906680,119407.9693666667
4-2,2025-05-27,5,34921.7192764160,34908.6455844390,0.0000000000,13.0736919771,54955.6672301997,5.5268196902,14370.3863730133,13572.5223785094,3193.4813906680,2519.7321593799,120046.8273500000
4-2,2025-05-28,5,36070.9195637420,36028.0107737091,0.0000000000,42.9087900329,57137.7264615235,10.4639239498,17477.0204778316,14906.2304915663,2519.7321593799,3387.3430261185,119921.8472166667
4-2,2025-05-29,5,35852.6609393566,35740.2018379049,0.0000000000,112.4591014516,57178.6032529865,23.9620616108,17233.6857298174,15579.2693900361,3387.3430261185,3314.6609905624,120439.3142666667
4-2,2025-05-30,5,14369.0845071870,14369.0845071870,0.0000000000,0.0000000000,34428.8088396373,0.0000000000,20422.8472618136,11591.1312791674,3314.6609905624,10471.3499197516,74612.2244833333
4-2,2025-05-31,5,8708.0417018636,8708.0417018636,0.0000000000,0.0000000000,18878.6187379744,0.0000000000,9898.8718352594,16899.3983242960,10471.3499197516,2048.7143690021,74778.3325833333
4-2,2025-06-01,6,124262.5783642194,39183.4195900010,0.0000000000,85079.1587742184,57881.0106750559,13793.5181534427,10605.1204198316,10155.4178913330,2048.7143690021,1404.8646092986,128248.5600333333
4-2,2025-06-02,6,62985.6367155187,46778.5772300181,0.0000000000,16207.0594855006,69641.6193524923,2783.4016257829,18481.5197143814,16196.5657268489,1404.8646092986,1865.2943617692,128080.5369833333
4-2,2025-06-03,6,49576.0683974533,49477.8249476831,0.0000000000,98.2434497702,72514.8129510002,41.3427033217,19010.5751894989,17133.0650086043,1865.2943617692,1840.4732880729,128076.8405666667
4-2,2025-06-04,6,51001.8300607813,49505.0131711351,0.0000000000,1496.8168896462,71817.1350122046,558.8211854232,17695.2424466703,16533.3245132455,1840.4732880729,1200.0000000000,128539.8435833333
4-2,2025-06-05,6,52830.5844907989,52507.1393387943,0.0000000000,323.4451520047,75722.5839310783,79.0951790228,21496.5360759608,18476.2028996475,1200.0000000000,2117.7768497731,128455.9206666667
4-2,2025-06-06,6,32689.1428778230,19104.2331943196,0.0000000000,13584.9096835034,39929.6068908736,2364.9340948906,18753.1032022237,11608.7474458263,2117.7768497731,7671.8384075160,82747.4150000000
4-2,2025-06-07,6,20293.9866160438,15536.8477700074,0.0000000000,4757.1388460365,31412.6120536579,826.0551213502,15411.1115701149,16149.8806939838,7671.8384075160,5268.6335808205,83156.7597500000
4-2,2025-06-08,6,60273.9999566102,60267.9770584563,0.0000000000,6.0228981538,84153.8456566617,2.3481084420,15486.8067048642,12868.2741577409,5268.6335808205,6396.3564772131,128266.9466500000
4-2,2025-06-09,6,56669.2947927567,56669.2947927567,0.0000000000,0.0000000000,77010.3697482480,0.0000000000,17612.5400258819,15819.9037172765,6396.3564772131,6429.4363322940,128169.1879833334
4-2,2025-06-10,6,55138.7444211899,55052.9874178977,0.0000000000,85.7570032922,76101.3221668671,33.8395314111,15224.4555833975,14272.8239935609,6429.4363322940,5827.7455787242,127414.4917833333
4-2,2025-06-11,6,60461.3206600303,53360.1117837743,0.0000000000,7101.2088762560,73815.2854771120,1337.9765512487,15133.7180594119,17238.8013065135,5827.7455787242,2013.5590525372,128236.6773166667
4-2,2025-06-12,6,59790.1594952331,59740.6417847675,0.0000000000,49.5177104656,82640.2659007521,11.0518269090,17076.9526474841,12653.4667335186,2013.5590525372,4876.2537524417,127721.8129833333
4-2,2025-06-13,6,19913.5168524438,19913.5168524438,0.0000000000,0.0000000000,36288.9187896220,0.0000000000,9050.9598746760,9610.8306800552,4876.2537524417,3332.0431651390,81889.5904000000
4-2,2025-06-14,6,21738.6401627507,21738.6401627507,0.0000000000,0.0000000000,40146.1406093442,0.0000000000,15163.2384517487,11395.5805520144,3332.0431651390,5705.1576272423,82253.1571166667
4-2,2025-06-15,6,55678.6719995139,55678.6719995139,0.0000000000,0.0000000000,78389.9477269388,0.0000000000,17865.6572438659,17123.2399794507,5705.1576272423,4604.5285109533,127368.8845166667
4-2,2025-06-16,6,56784.8077160134,56401.0011549784,0.0000000000,383.8065610351,78483.8208700895,108.7061859682,19403.0230132735,16617.6139461638,4604.5285109533,5495.3492595835,127618.6320166667
4-2,2025-06-17,6,56209.0552763780,56012.9408222343,0.0000000000,196.1144541437,77262.2203333080,55.8347206436,17375.1156800473,15924.7646053480,5495.3492595835,5192.6555219626,127311.7546000000
4-2,2025-06-18,6,56169.5165431198,56168.7726062069,0.0000000000,0.7439369129,77524.7700173182,0.3164342463,18006.7745547078,15874.1300397800,5192.6555219626,5542.5795273069,126909.0789166667
4-2,2025-06-19,6,55756.4547780843,55717.8573285173,0.0000000000,38.5974495671,77806.7457594353,16.0350155449,14994.4605534178,12856.1216579824,5542.5795273069,6216.0317124635,127349.0669000000
4-2,2025-06-20,6,20464.3475663125,20464.3475663125,0.0000000000,0.0000000000,37822.0137732266,0.0000000000,12187.2592534038,9448.3529138332,6216.0317124635,7818.4425669121,81137.0797166667
