experiment,policy_id,label,source,role,total_cost,planned_cost,emergency_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,active_slots,simultaneous_slots,initial_soc,final_soc,scenario,days,start_date,end_date,physically_comparable,ranking_allowed,forecast_selection_limitation,comparison_note,current,previous,absolute_change,relative_change_pct,beta,adjustment_cost,emergency_kwh,overlap_intervals,max_overlap_kwh,tv_kw,total_wan,source_sha256,settlement_comparable
exp005,exp005/beta_0.1,β=0.1 主方案,git:8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,primary,14717882.165475883,12125606.983119221,2592275.182356661,,,11513308.87090243,,,,0.0,1421.7991105135516,,2,334,2025-02-01,2025-12-31,False,False,,completed LP simulation; additional 1000 kW/10min hard ramp and emergency charging allowed; show separately as descriptive historical comparator,13201981.947942203,14717882.165475883,,,0.1,0.0,698388.269991026,0.0,7.673861546209079e-12,12692001.827970427,1471.7882165475883,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,True
exp006,exp006/primary,exp006 正式·树DP,data/results/exp006/primary/dispatch_2.npz,正式策略,14066257.4772568,13215791.4492587,850466.027998076,6042575.43666935,5438271.60315442,11480847.0398238,477.705499757205,2729.0,23028.0,0.0,1421.79911051355,1470.59289458206,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14066257.4772568,-864275.5293145962,-6.144317567853501,,,,,,,,,
exp006,exp006/seed_2026,exp006 树DP·种子2026,data/results/exp006/seed_2026/dispatch_2.npz,种子稳定性,14055726.4251002,13210305.315116,845421.109984166,6052697.23481453,5447312.93134467,11500010.1661592,478.5026988224,2725.0,23120.0,0.0,1421.79911051355,1542.577023055,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14055726.4251002,-853744.477157997,-6.073997539062879,,,,,,,,,
exp006,exp006/seed_3407,exp006 树DP·种子3407,data/results/exp006/seed_3407/dispatch_2.npz,种子稳定性,14075605.24983,13197952.1186864,877653.131143669,6054373.28456454,5448762.80455233,11503136.0891169,478.63262969557,2725.0,23153.0,0.0,1421.79911051355,1604.31687604847,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14075605.24983,-873623.3018877972,-6.206648214280863,,,,,,,,,
exp006,exp006/causal_42,exp006 历史季节·树DP,data/results/exp006/causal_42/dispatch_2.npz,预测兼容对照,14094289.9315069,13224871.8941921,869418.037314804,6041591.6150861,5437328.63230063,11478920.2473867,477.6251950214,2733.0,23048.0,0.0,1421.79911051355,1531.23634533187,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14094289.9315069,-892307.9835646972,-6.330989272258397,,,,,,,,,
exp006,exp006/causal_2026,exp006 历史季节·2026,data/results/exp006/causal_2026/dispatch_2.npz,种子稳定性,14072183.7561976,13228793.605371,843390.150826609,6045679.69148094,5440898.17872285,11486577.8702038,477.943566775549,2723.0,23084.0,0.0,1421.79911051355,1646.89383963879,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14072183.7561976,-870201.8082553968,-6.183843412875752,,,,,,,,,
exp006,exp006/causal_3407,exp006 历史季节·3407,data/results/exp006/causal_3407/dispatch_2.npz,种子稳定性,14086010.8265408,13207545.3739151,878465.452625661,6052880.08300813,5447307.64433508,11500187.7273432,478.509694323646,2727.0,23103.0,0.0,1421.79911051355,1721.61504784539,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14086010.8265408,-884028.8785985969,-6.275934964730494,,,,,,,,,
exp006,exp006/cost_only,exp006 仅费用,data/results/exp006/cost_only/dispatch_2.npz,消融,14071317.0548875,13215909.9956215,855407.059265939,6044516.61291859,5440017.52605415,11484534.1389727,477.858913332774,2731.0,22196.0,0.0,1421.79911051355,1471.7900534119,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14071317.0548875,-869335.1069452967,-6.178064949814658,,,,,,,,,
exp006,exp006/no_tree,exp006 无条件树,data/results/exp006/no_tree/dispatch_2.npz,消融,14195217.2998406,13314119.3597086,881097.940131932,6007097.36060535,5406400.91051199,11413498.2711173,474.903328174096,2721.0,23044.0,0.0,1421.79911051355,1407.7944714521,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14195217.2998406,-993235.3518983964,-6.99697180338021,,,,,,,,,
exp006,exp006/more_throughput_penalty,exp006 较强吞吐惩罚,data/results/exp006/more_throughput_penalty/dispatch_2.npz,消融,14079827.84302,13222248.4259319,857579.417088157,5813812.44934583,5232358.68546946,11046171.1348153,459.619045654523,2047.0,21636.0,0.0,1421.79911051355,1498.24078702991,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14079827.84302,-877845.8950777967,-6.234777192343187,,,,,,,,,
exp006,exp006/zero_terminal,exp006 无终值,data/results/exp006/zero_terminal/dispatch_2.npz,消融,14066257.4772568,13215791.4492587,850466.027998076,6042575.43666935,5438271.60315442,11480847.0398238,477.705499757205,2729.0,23028.0,0.0,1421.79911051355,1470.59289458206,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14066257.4772568,-864275.5293145962,-6.144317567853501,,,,,,,,,
exp006,exp006/greedy_execution,exp006 旧执行·重新规划,data/results/exp006/greedy_execution/dispatch_2.npz,消融,13534196.7273157,13127816.4567055,406380.270610227,6190052.90466772,5570850.30892539,11760903.2135931,489.357984641374,6755.0,38935.0,0.0,1421.79911051355,1629.77713222176,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,13534196.7273157,-332214.77937349677,-2.4546324105293724,,,,,,,,,
exp006,exp006/no_deadband,exp006 无死区,data/results/exp006/no_deadband/dispatch_2.npz,消融,14065954.8549478,13215779.3811864,850175.473761399,6042574.17603141,5438270.46858028,11480844.6446117,477.705400095026,2731.0,23050.0,0.0,1421.79911051355,1470.59289458206,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14065954.8549478,-863972.9070055969,-6.142298307616765,,,,,,,,,
exp006,exp006/primary_grid25,exp006 正式·25kWh,data/results/exp006/primary_grid25/dispatch_2.npz,网格精度核查,14046310.5438835,13185249.0577316,861061.48615189,6090087.90803904,5481032.82738714,11571120.7354262,481.461690427,2729.0,23101.0,0.0,1421.79911051355,1470.59289458547,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14046310.5438835,-844328.5959412977,-6.011034664963766,,,,,,,,,
exp006,exp006/causal_42_grid25,exp006 历史季节·25kWh,data/results/exp006/causal_42_grid25/dispatch_2.npz,网格精度核查,14074930.3326228,13194017.2913926,880913.041230159,6089282.71782134,5480256.85650382,11569539.5743252,481.395781441956,2735.0,23093.0,0.0,1421.79911051355,1524.66751304764,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14074930.3326228,-872948.3846805971,-6.202150661145953,,,,,,,,,
exp006,exp006/fixed_primary_greedy,exp006 固定购电·旧执行,data/results/exp006/fixed_primary_greedy/dispatch_2.npz,执行控制对照,13615967.6561657,13215791.4492587,400176.206906973,6180199.68424002,5561982.41054046,11742182.0947805,488.579019170392,6669.0,38183.0,0.0,1421.79911051355,1629.77713222176,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,13615967.6561657,-413985.7082234975,-3.0404427997890617,,,,,,,,,
