scenario,month,planned_cost_yuan,up_adjustment_cost_yuan,down_adjustment_cost_yuan,emergency_cost_yuan,adjustment_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh
3,2025-12,1474110.2788886856,89049.80318093879,0.0,28438.61474506048,89049.80318093879,1591598.696814685,2388911.5486881053,2471329.928050563,5849.595161758875,718961.8059704293,647200.792155814
4-2,2025-02,1205372.2677219242,0.0,0.0,24392.590334701465,0.0,1229764.8580566256,1864260.966874712,1864260.966874712,4823.942722597646,535741.4859811334,481904.936162027
4-2,2025-03,1052295.2688697618,0.0,0.0,72478.62371824951,0.0,1124773.8925880112,1764688.9859064827,1764688.9859064827,13289.28035380354,558532.3144366613,501795.6173666311
4-2,2025-04,866096.4649099647,0.0,0.0,45665.043649823245,0.0,911761.508559788,1511936.0924913983,1511936.0924913983,8227.917691371964,501124.0696430557,449444.0068146946
4-2,2025-05,884322.6559729865,0.0,0.0,28862.917455099807,0.0,913185.5734280864,1488669.512500233,1488669.512500233,6385.159340938224,488575.24632800836,441806.69619159895
4-2,2025-06,1320450.412888101,0.0,0.0,146031.49779612658,0.0,1466481.9106842277,1940464.6448942504,1940464.6448942504,24909.663562169848,484804.9697821974,434253.11338759604
4-2,2025-07,1587212.3386730643,0.0,0.0,72132.86547974493,0.0,1659345.204152809,2180486.7163976864,2180486.7163976864,13534.22382176153,526852.7763535241,475831.99999372725
4-2,2025-08,1318443.5686389022,0.0,0.0,52663.468544056836,0.0,1371107.037182959,1882513.645818448,1882513.645818448,9240.57705076469,524801.784333523,472482.9766118152
4-2,2025-09,1046559.8377164267,0.0,0.0,73930.04856197826,0.0,1120489.8862784049,1671363.0862818602,1671363.0862818602,14975.021195535906,510872.33627775754,458681.4940590736
4-2,2025-10,1069585.3739701794,0.0,0.0,11875.96195058813,0.0,1081461.3359207676,1751790.0580631257,1751790.0580631257,2214.2381710898753,552199.6642270926,498237.13067368796
4-2,2025-11,1257269.7609257693,0.0,0.0,12827.081262163078,0.0,1270096.8421879325,1934600.7037020866,1934600.7037020866,2709.011217256788,558688.0647835779,503716.08260269294
4-2,2025-12,1792848.7322655474,0.0,0.0,53214.47663171068,0.0,1846063.2088972582,2518408.6342008,2518408.6342008,9571.007327003037,641713.272340981,577541.945106883
4-3,2025-02,1119969.0981441892,80282.1204702099,0.0,21731.0231582156,80282.1204702099,1221982.2417726147,1773567.0701836755,1836045.8708508618,4370.101299547219,622645.7166491568,560344.6587120051
4-3,2025-03,974030.8263763279,80324.92924493985,0.0,4653.295707990902,80324.92924493985,1059009.0513292586,1656107.8780931437,1730895.8192498034,1078.4152775889,634737.6549044675,571040.2955442853
4-3,2025-04,794782.2898638675,59407.42239248865,0.0,11425.268738737272,59407.42239248865,865614.9809950934,1396289.9104007296,1454716.669200185,2645.926042214929,550943.1814633796,496415.1203006797
4-3,2025-05,800027.6162546976,60344.20628191507,0.0,30576.660975897244,60344.20628191507,890948.4835125098,1377818.0658289732,1434005.7967466204,6941.67223227622,527090.4734237416,473816.0605799874
4-3,2025-06,1164155.375472373,131002.2915225941,0.0,26421.159098661403,131002.2915225941,1321578.8260936285,1780091.7086235788,1893203.6877195695,6159.667356735003,574505.0486534444,517383.5862686918
4-3,2025-07,1429077.7994679138,174993.1053447189,0.0,27281.31215196292,174993.1053447189,1631352.2169645957,2012446.8154266588,2141881.118753868,6297.443739393607,585608.7379926281,526714.1051281804
4-3,2025-08,1217778.8530393923,106054.37005682634,0.0,35653.963807433625,106054.37005682634,1359487.1869036523,1757869.1390900933,1850788.0472863328,6078.755090262809,560375.495768551,504292.2682303857
4-3,2025-09,957629.8802756316,90750.203184066,0.0,23196.029669864824,90750.203184066,1071576.1131295622,1553378.689214053,1629626.3234575398,5298.209953205121,561435.1795475719,505090.2668399604
4-3,2025-10,964195.5931608394,100704.17610552702,0.0,7065.243767500683,100704.17610552702,1071965.013033867,1616150.8934084834,1709264.6091283401,1280.4969064539966,632656.6848561274,569416.4069897383
4-3,2025-11,1165684.1771539277,104321.79926489967,0.0,2966.7820613246445,104321.79926489967,1272972.758480152,1843937.6997593204,1928903.655720485,708.7612457434179,635603.4694155751,572685.5898014784
4-3,2025-12,1677944.5516030104,101517.29883952318,0.0,33921.74230435682,101517.29883952318,1813383.5927468904,2397963.038070056,2474836.037885927,5458.266910124617,742382.9402628212,668293.9430899922
