day,date,month,total_cost,no_season_cost,difference_yuan
69,2025-03-11,3,44630.488265615655,44840.693908029534,-210.2056424138791
70,2025-03-12,3,42848.87861057682,43043.57041402142,-194.69180344459892
71,2025-03-13,3,53486.51190341872,52551.418936902905,935.0929665158183
72,2025-03-14,3,15545.784255369128,15594.843513225063,-49.05925785593536
73,2025-03-15,3,15503.364995080556,15593.128439924318,-89.76344484376204
74,2025-03-16,3,43111.045215595346,43385.12694141561,-274.081725820266
75,2025-03-17,3,41569.658685007176,41824.442187019566,-254.78350201238936
76,2025-03-18,3,44271.58864136974,43751.11623025996,520.4724111097748
77,2025-03-19,3,41193.40055588365,41376.945504835734,-183.54494895208336
78,2025-03-20,3,41053.63418316789,41372.41015171298,-318.77596854509466
79,2025-03-21,3,15409.764572943226,15441.879071902586,-32.11449895935948
80,2025-03-22,3,15348.643842753048,15412.50063349992,-63.85679074687141
81,2025-03-23,3,40294.74949521302,40600.13508414427,-305.3855889312472
82,2025-03-24,3,40464.34848285687,40624.56655766663,-160.21807480975986
83,2025-03-25,3,38627.81861785001,38735.36691249645,-107.5482946464399
84,2025-03-26,3,39945.43276982653,40055.42310989347,-109.99034006693546
85,2025-03-27,3,37496.00993700835,37959.17550807433,-463.1655710659834
86,2025-03-28,3,15209.572992939822,15185.815208164671,23.757784775150867
87,2025-03-29,3,14448.935542680383,14479.220178356029,-30.284635675645404
88,2025-03-30,3,35867.2680097682,35967.503300719065,-100.23529095086269
89,2025-03-31,3,36660.51997617041,36882.60663323872,-222.08665706830652
90,2025-04-01,4,38598.72408953223,38485.60571379794,113.11837573429511
91,2025-04-02,4,44141.262467673805,44210.93925152997,-69.67678385616455
92,2025-04-03,4,40849.31231256366,41340.243358509426,-490.9310459457629
93,2025-04-04,4,14426.581256047337,14328.855602542715,97.72565350462173
94,2025-04-05,4,13988.653907460775,13910.422431876315,78.23147558445999
95,2025-04-06,4,38272.96801309524,38065.12537329766,207.84263979757816
96,2025-04-07,4,36463.282249606185,36300.499504282314,162.7827453238715
97,2025-04-08,4,38310.41033754716,38490.87973780313,-180.46940025596996
98,2025-04-09,4,37696.91140799362,37401.36638447924,295.54502351437986
99,2025-04-10,4,39751.47463560277,39364.67950590879,386.7951296939791
100,2025-04-11,4,14196.744544351895,14073.92706682952,122.81747752237607
101,2025-04-12,4,13771.819406018923,13653.131739900551,118.68766611837236
102,2025-04-13,4,36299.15035623452,35975.07460220331,324.07575403120427
103,2025-04-14,4,36119.774092267835,35845.89871068501,273.87538158282405
104,2025-04-15,4,35218.549176573324,34896.7387925729,321.810384000426
105,2025-04-16,4,35236.25223891403,34902.81206907806,333.4401698359652
106,2025-04-17,4,37371.641577623464,36868.25351696367,503.3880606597959
107,2025-04-18,4,13763.591886497215,13618.359065726458,145.23282077075783
108,2025-04-19,4,12878.16264058469,12723.443099914128,154.7195406705614
109,2025-04-20,4,35256.15999053213,34822.22427969483,433.9357108373006
110,2025-04-21,4,35606.49790276281,35226.459437738624,380.0384650241831
111,2025-04-22,4,32818.79940191905,32418.48656684065,400.3128350784027
112,2025-04-23,4,35627.20949427396,35161.34453067169,465.8649636022674
113,2025-04-24,4,34786.574651018454,34213.542505878184,573.0321451402706
114,2025-04-25,4,12622.931353149055,12462.887632467631,160.04372068142402
115,2025-04-26,4,12384.666292196143,12180.602048798555,204.06424339758814
116,2025-04-27,4,32661.92524807636,32573.76826416417,88.15698391219121
117,2025-04-28,4,43444.67242517307,47039.48739181095,-3594.8149666378813
118,2025-04-29,4,37344.40937298296,36799.051272624056,545.3581003589061
119,2025-04-30,4,33939.02375014441,33420.935104592194,518.0886455522195
120,2025-05-01,5,48607.50553183789,48654.27557883622,-46.77004699833196
121,2025-05-02,5,22960.905895599524,23220.032568703136,-259.1266731036121
122,2025-05-03,5,19804.99752316626,19773.838579238673,31.158943927588552
123,2025-05-04,5,45364.52137118092,45433.555868424766,-69.034497243847
124,2025-05-05,5,46137.92857062872,46336.83827103315,-198.90970040443062
125,2025-05-06,5,45121.83633877149,45268.06444497088,-146.22810619938537
126,2025-05-07,5,49975.65727352086,50585.342555435214,-609.6852819143533
127,2025-05-08,5,38322.29292546959,37869.37509860678,452.9178268628093
128,2025-05-09,5,14275.47885437182,14393.073895278678,-117.59504090685732
129,2025-05-10,5,14880.35754110693,14598.376967553908,281.9805735530226
130,2025-05-11,5,40179.35958246403,39955.28162515025,224.077957313777
131,2025-05-12,5,38051.33223681789,38382.77989128011,-331.4476544622157
132,2025-05-13,5,36429.640593012875,36051.88794049924,377.75265251363453
133,2025-05-14,5,37381.01075982989,36806.70583511453,574.3049247153613
134,2025-05-15,5,36421.920780875385,36647.75935378917,-225.83857291378808
135,2025-05-16,5,14287.311698400255,14112.355014542682,174.9566838575738
136,2025-05-17,5,14866.811718628727,15349.669047122568,-482.8573284938411
137,2025-05-18,5,38375.13917082558,37641.82514255208,733.3140282735039
138,2025-05-19,5,36647.390187609104,36360.64120972482,286.74897788428643
139,2025-05-20,5,34703.564898848694,38593.82358031736,-3890.2586814686656
140,2025-05-21,5,37799.43911777624,37182.15741329437,617.2817044818657
141,2025-05-22,5,36119.48502489766,36112.72894910503,6.756075792625779
142,2025-05-23,5,13879.280343386072,13586.830533044858,292.4498103412134
143,2025-05-24,5,14169.150114371749,13894.97249104949,274.177623322259
144,2025-05-25,5,35299.618493945134,35953.02448515691,-653.4059912117737
145,2025-05-26,5,39716.4218891797,41686.29920945633,-1969.8773202766315
146,2025-05-27,5,37710.065081874935,37059.3961055086,650.668976366338
147,2025-05-28,5,35161.60929964286,34643.954164219525,517.6551354233379
148,2025-05-29,5,36135.15928271479,36422.31144489167,-287.152162176877
149,2025-05-30,5,13846.980391836898,13551.19067962217,295.78971221472784
150,2025-05-31,5,14371.264954960949,14161.000674139696,210.26428082125312
151,2025-06-01,6,102046.28368015696,101637.00128447224,409.2823956847278
152,2025-06-02,6,72242.91694117039,70119.44434055965,2123.4726006107376
153,2025-06-03,6,56430.66976645273,60204.478434414115,-3773.8086679613843
154,2025-06-04,6,65919.98624501345,65082.713424284826,837.2728207286273
155,2025-06-05,6,69197.14529582718,68727.80948981435,469.33580601283757
156,2025-06-06,6,49026.198970895035,49485.63510068291,-459.4361297878786
157,2025-06-07,6,34702.59988321288,35603.21701248994,-900.6171292770596
158,2025-06-08,6,51281.57009512685,51141.82830621482,139.74178891203337
159,2025-06-09,6,49012.572062923166,49536.27982127656,-523.7077583533974
160,2025-06-10,6,48767.28863780231,48687.74414958342,79.54448821888946
161,2025-06-11,6,55202.61636125152,56524.52643596905,-1321.9100747175253
162,2025-06-12,6,51188.04256165651,51234.246475285545,-46.203913629033195
163,2025-06-13,6,20197.197179382696,20064.07796927819,133.11921010450533
164,2025-06-14,6,20383.842333248373,20157.504957281843,226.3373759665301
165,2025-06-15,6,48639.724150264774,48632.726236516995,6.997913747778512
166,2025-06-16,6,48429.99612079194,48358.44616879105,71.54995200088888
167,2025-06-17,6,51305.164470527816,52112.80530143669,-807.6408309088729
168,2025-06-18,6,51400.48592770044,51462.55002845127,-62.064100750823854
169,2025-06-19,6,48610.88849383893,48707.03844157771,-96.14994773877697
170,2025-06-20,6,19421.129155339662,19321.783138912408,99.34601642725465
171,2025-06-21,6,19504.01712534171,19325.980331664585,178.0367936771254
172,2025-06-22,6,45233.22020846277,45245.341012679855,-12.120804217083787
173,2025-06-23,6,47157.55357569143,47159.541664064614,-1.9880883731821086
174,2025-06-24,6,63040.39746872363,63279.516641293565,-239.11917256993183
175,2025-06-25,6,50779.57254759288,51049.80169901316,-270.2291514202807
176,2025-06-26,6,47746.22255182342,48006.172668635656,-259.95011681223696
177,2025-06-27,6,18168.490265757115,18170.604120667223,-2.1138549101087847
178,2025-06-28,6,18148.35748555988,18081.30842187612,67.04906368376032
179,2025-06-29,6,46103.53261970234,46153.380466790375,-49.84784708803636
180,2025-06-30,6,47698.23806312244,47869.29319811052,-171.05513498808432
181,2025-07-01,7,64748.58298602743,65101.2203923192,-352.63740629176755
182,2025-07-02,7,70565.16522591874,71140.268929974,-575.1037040552619
183,2025-07-03,7,120510.2346644348,123531.53124895669,-3021.296584521886
184,2025-07-04,7,47843.69106523966,49226.83258099811,-1383.1415157584488
185,2025-07-05,7,51260.85742993441,52320.71675592714,-1059.8593259927293
186,2025-07-06,7,114242.93249633197,116713.41513303464,-2470.482636702669
187,2025-07-07,7,65678.16973579198,66990.45977598193,-1312.2900401899533
188,2025-07-08,7,53685.02314600724,53410.27894464383,274.7442013634063
189,2025-07-09,7,54543.59346908481,54268.83164705315,274.7618220316581
190,2025-07-10,7,53149.41878316147,52995.34890948201,154.0698736794584
191,2025-07-11,7,25907.18214839097,25642.25235335659,264.9297950343789
192,2025-07-12,7,25608.787348399754,25435.057547065,173.72980133475357
193,2025-07-13,7,55024.515748288206,54784.727673330155,239.78807495805086
194,2025-07-14,7,51754.44296498605,51472.214061628125,282.2289033579218
195,2025-07-15,7,52193.95201308578,51941.77877066351,252.1732424222646
196,2025-07-16,7,52519.120554716166,52299.05495892574,220.06559579042369
197,2025-07-17,7,51340.128323565266,51044.61205583879,295.5162677264743
198,2025-07-18,7,25732.874693102454,25529.533739064456,203.34095403799802
199,2025-07-19,7,25244.056948610152,25128.351565134588,115.7053834755643
200,2025-07-20,7,51799.912562959886,51576.295791324745,223.61677163514105
201,2025-07-21,7,53534.954611066074,53316.98350054211,217.97111052396212
202,2025-07-22,7,54166.77076102804,54081.20128881122,85.56947221681912
203,2025-07-23,7,53083.65399191057,52969.62074949563,114.03324241493829
204,2025-07-24,7,52091.87203071482,52308.065137583144,-216.19310686832614
205,2025-07-25,7,24937.22347473158,24806.29944293524,130.9240317963413
206,2025-07-26,7,25032.804065513028,25020.995716839298,11.808348673730507
207,2025-07-27,7,51560.30749935667,51852.916042624216,-292.60854326754634
208,2025-07-28,7,52856.692856145775,53039.444965252056,-182.75210910628084
209,2025-07-29,7,56413.39722807457,56464.39399486592,-50.99676679134427
210,2025-07-30,7,53885.194630342354,53967.086753973505,-81.89212363115075
211,2025-07-31,7,51996.82189033593,51981.561166321015,15.260724014915468
212,2025-08-01,8,23883.111169834698,23803.928362587973,79.18280724672513
213,2025-08-02,8,23202.051209464527,23182.69605350479,19.355155959736294
214,2025-08-03,8,49561.878374924054,49419.522824497704,142.3555504263495
215,2025-08-04,8,45991.39546982097,46056.457209265805,-65.06173944483453
216,2025-08-05,8,47004.96856334672,47067.58921929532,-62.620655948594504
217,2025-08-06,8,49926.034944826184,49372.25239594292,553.7825488832605
218,2025-08-07,8,48514.733586105714,48671.17970381042,-156.4461177047051
219,2025-08-08,8,23555.136798321077,23663.9570832387,-108.82028491762321
220,2025-08-09,8,22921.948464389363,23051.786025583853,-129.83756119449026
221,2025-08-10,8,47584.870224194936,47795.90352956867,-211.03330537373404
222,2025-08-11,8,48790.61423157941,48893.79065356654,-103.17642198712565
223,2025-08-12,8,48060.85635689089,47503.28254004913,557.5738168417593
224,2025-08-13,8,48833.547633926995,49294.92733851088,-461.37970458388736
225,2025-08-14,8,49183.06629059636,48146.460916071446,1036.6053745249155
226,2025-08-15,8,22967.329204937352,23282.261224273785,-314.93201933643286
227,2025-08-16,8,23856.743039759614,23220.084980543244,636.65805921637
228,2025-08-17,8,46524.33229969763,46756.71144403181,-232.37914433418337
229,2025-08-18,8,47324.03080873618,47515.56018287623,-191.52937414005282
230,2025-08-19,8,47498.86719485509,47833.69845659178,-334.83126173669007
231,2025-08-20,8,50853.004159487435,51090.47801472209,-237.47385523465346
232,2025-08-21,8,50083.40937714543,50438.70812583738,-355.2987486919519
233,2025-08-22,8,27321.012999534847,25454.64882434546,1866.3641751893883
234,2025-08-23,8,23145.42193787026,23664.55566765668,-519.1337297864229
235,2025-08-24,8,48373.661166152335,48786.212316951365,-412.55115079903044
236,2025-08-25,8,49734.43556731698,47599.68186393916,2134.753703377821
237,2025-08-26,8,50637.10377571452,51107.492180643705,-470.38840492918825
238,2025-08-27,8,46781.25039399475,47236.479767567645,-455.2293735728963
239,2025-08-28,8,49080.03998269107,49550.557443123704,-470.5174604326312
240,2025-08-29,8,23617.659194084525,24095.53718369623,-477.87798961170483
241,2025-08-30,8,24108.693919717844,24261.136240063646,-152.44232034580273
242,2025-08-31,8,47291.04491091026,47620.50692914061,-329.4620182303479
243,2025-09-01,9,48899.67581170393,48259.2903815428,640.3854301611282
244,2025-09-02,9,45765.359805242246,45975.92447884583,-210.5646736035851
245,2025-09-03,9,45021.285247699125,45395.748761144416,-374.463513445291
246,2025-09-04,9,46085.17299466977,46790.75638191562,-705.5833872458534
247,2025-09-05,9,22489.40025649168,22957.81108905932,-468.41083256763886
248,2025-09-06,9,21666.095242403375,22502.58389730171,-836.4886548983341
249,2025-09-07,9,43949.41767274532,44948.87512457023,-999.4574518249065
250,2025-09-08,9,44535.48697751331,43077.33036742748,1458.1566100858327
251,2025-09-09,9,41786.73437377358,42568.51519710421,-781.7808233306278
252,2025-09-10,9,54120.17699787374,51053.5050730137,3066.671924860042
253,2025-09-11,9,42077.0978347549,42884.36758609253,-807.2697513376261
254,2025-09-12,9,17647.38633271972,17599.012998628496,48.37333409122584
255,2025-09-13,9,16935.153385479283,17867.561353229772,-932.4079677504888
256,2025-09-14,9,43773.23627293496,38732.304730412674,5040.9315425222885
257,2025-09-15,9,42321.51211518389,42817.50726434439,-495.9951491605025
258,2025-09-16,9,39844.05830105388,40623.013687543375,-778.9553864894915
259,2025-09-17,9,40568.646634646786,41455.43389507061,-886.7872604238219
260,2025-09-18,9,42216.000204727454,42061.24353139393,154.75667333352612
261,2025-09-19,9,17424.187458607004,18030.30280828529,-606.1153496782863
262,2025-09-20,9,17886.07198295401,17969.683769535797,-83.61178658178687
263,2025-09-21,9,42902.589011085,43285.47752943074,-382.8885183457387
264,2025-09-22,9,42762.52198242109,41303.22488027252,1459.2971021485646
265,2025-09-23,9,43022.402566679586,43671.24221087258,-648.8396441929945
266,2025-09-24,9,42428.41607320486,43303.90481755594,-875.4887443510743
267,2025-09-25,9,41988.04251710462,42626.90489049202,-638.8623733873974
268,2025-09-26,9,18180.698785939123,18676.88226658666,-496.1834806475381
269,2025-09-27,9,18255.494199432473,18382.46422609394,-126.97002666146727
270,2025-09-28,9,45540.57019655724,44813.85738823008,726.71280832716
271,2025-09-29,9,45245.06380548364,45635.31706026043,-390.25325477679144
272,2025-09-30,9,44358.55197391877,44881.89822224819,-523.3462483294206
273,2025-10-01,10,45528.07363178759,46655.41197895064,-1127.338347163044
274,2025-10-02,10,37000.05010764365,37984.46762136703,-984.4175137233833
275,2025-10-03,10,14900.63810031611,16638.201951113726,-1737.5638507976164
276,2025-10-04,10,17900.22089451325,17825.286733708628,74.93416080462339
277,2025-10-05,10,41070.13385899083,42247.70228670367,-1177.5684277128457
278,2025-10-06,10,40840.56606222719,41520.56644749062,-680.0003852634327
279,2025-10-07,10,41545.88589999675,43093.45646889187,-1547.5705688951202
280,2025-10-08,10,37721.756573405335,39775.46721490928,-2053.710641503945
281,2025-10-09,10,39997.56865287535,39386.12658977692,611.4420630984314
282,2025-10-10,10,15324.499037994969,16252.866306083097,-928.3672680881282
283,2025-10-11,10,16009.794936528291,16844.576828506895,-834.7818919786041
284,2025-10-12,10,40870.015510493875,41977.57747484309,-1107.5619643492173
285,2025-10-13,10,40740.133752703,41753.540413155366,-1013.4066604523687
286,2025-10-14,10,39957.75159405192,40600.099495502895,-642.3479014509721
287,2025-10-15,10,40528.743732904826,42543.77979271944,-2015.0360598146144
288,2025-10-16,10,47101.65538890321,43449.39932961962,3652.256059283587
289,2025-10-17,10,16482.54713155239,17650.501692282243,-1167.9545607298533
290,2025-10-18,10,16530.787427481144,17117.399373123902,-586.6119456427587
291,2025-10-19,10,45876.505175964005,43022.39034688871,2854.114829075297
292,2025-10-20,10,45139.78038491943,45373.40318724402,-233.6228023245858
293,2025-10-21,10,44386.67151838701,46057.60482218578,-1670.9333037987672
294,2025-10-22,10,44146.755519973005,45757.46467106521,-1610.7091510922037
295,2025-10-23,10,44161.80515885123,45666.7133495981,-1504.9081907468717
296,2025-10-24,10,16490.62294881559,17357.394494833316,-866.7715460177242
297,2025-10-25,10,17172.26537618701,17641.377973675837,-469.1125974888273
298,2025-10-26,10,44074.45200629906,46010.94315106522,-1936.491144766158
299,2025-10-27,10,45420.894492333464,45684.6645241535,-263.7700318200368
300,2025-10-28,10,44738.007747057614,45055.810969972634,-317.80322291501943
301,2025-10-29,10,45071.38558537347,46443.64047799593,-1372.2548926224554
302,2025-10-30,10,45716.87888463898,47599.98620019609,-1883.1073155571066
303,2025-10-31,10,17753.532228004715,18577.43673439014,-823.9045063854246
304,2025-11-01,11,17951.249159702442,16897.360165623435,1053.8889940790068
305,2025-11-02,11,46038.19111173077,46171.90567716808,-133.71456543730892
306,2025-11-03,11,47709.76467469419,45954.76824367653,1754.9964310176583
307,2025-11-04,11,47209.61896208307,46020.83827216094,1188.7806899221323
308,2025-11-05,11,47429.973602051046,46148.79535394674,1281.1782481043047
309,2025-11-06,11,48912.19142707745,51706.812810633724,-2794.621383556274
310,2025-11-07,11,18166.20478862177,18175.223894968047,-9.019106346277113
311,2025-11-08,11,17907.78389560306,17209.282468182468,698.5014274205932
312,2025-11-09,11,47133.03033051538,48652.4252776416,-1519.394947126224
313,2025-11-10,11,49305.64716805436,49414.78133160535,-109.13416355098889
314,2025-11-11,11,49923.14073661491,48408.83307398243,1514.3076626324764
315,2025-11-12,11,49072.15517892252,47608.09422229069,1464.0609566318308
316,2025-11-13,11,48702.506216358874,49331.15272730202,-628.6465109431447
317,2025-11-14,11,18648.482650117498,17955.46013003614,693.0225200813584
318,2025-11-15,11,18580.791938429928,19629.48537140637,-1048.6934329764408
319,2025-11-16,11,49878.154994174925,49730.42118012858,147.7338140463471
320,2025-11-17,11,51959.73366970252,50269.80252448662,1689.9311452158945
321,2025-11-18,11,50846.7223521119,48701.01976911764,2145.7025829942577
322,2025-11-19,11,51088.61974287346,52449.59364217798,-1360.9738993045175
323,2025-11-20,11,51152.0261244428,49894.80285681687,1257.22326762593
324,2025-11-21,11,19026.946573305177,20949.835206244847,-1922.88863293967
325,2025-11-22,11,19227.404645163275,19224.43020608926,2.974439074016118
326,2025-11-23,11,51697.471757819934,51443.28313708822,254.18862073171476
327,2025-11-24,11,52085.75768311836,50190.75716955361,1895.0005135647516
328,2025-11-25,11,51627.783391984216,52679.9950594399,-1052.211667455682
329,2025-11-26,11,53024.39131068086,51317.37651024763,1707.0148004332295
330,2025-11-27,11,52217.987291123354,50393.89301396157,1824.0942771617847
331,2025-11-28,11,19507.514890881248,19405.00746973935,102.5074211418978
332,2025-11-29,11,19890.334457067293,25194.69940601218,-5304.364948944887
333,2025-11-30,11,54415.12024328609,53133.09490347605,1282.0253398100394
334,2025-12-01,12,69458.55100177808,75367.8645406834,-5909.3135389053205
335,2025-12-02,12,80387.19950824551,69423.936088421,10963.263419824507
336,2025-12-03,12,66422.02636919792,59881.39409761509,6540.632271582828
337,2025-12-04,12,75699.24014129979,70103.36499824638,5595.875143053403
338,2025-12-05,12,39777.48298806004,32177.99469945275,7599.488288607288
339,2025-12-06,12,47705.61019398903,38628.70234634333,9076.9078476457
340,2025-12-07,12,66306.82806348486,68343.44438986886,-2036.616326383999
341,2025-12-08,12,60244.28810686941,59453.675822166,790.612284703413
342,2025-12-09,12,61010.726955196275,59689.89819421951,1320.828760976765
343,2025-12-10,12,59632.63629232896,58702.64833716378,929.9879551651829
344,2025-12-11,12,60713.09886311804,58575.108037907135,2137.9908252109017
345,2025-12-12,12,24233.93412766098,24269.321020396048,-35.386892735066795
346,2025-12-13,12,26135.124515715353,24871.790742933248,1263.3337727821054
347,2025-12-14,12,61468.54343170341,59837.13421500307,1631.40921670034
348,2025-12-15,12,60529.25341505441,59884.31884960026,644.9345654541467
349,2025-12-16,12,61701.08180019183,59770.62526008048,1930.4565401113505
350,2025-12-17,12,60600.356796735454,59484.37657029193,1115.9802264435202
351,2025-12-18,12,59772.90094701963,61422.63225969273,-1649.731312673095
352,2025-12-19,12,24645.708948235653,24647.123027801117,-1.4140795654639078
353,2025-12-20,12,25655.271292809557,25381.983132176505,273.28816063305203
354,2025-12-21,12,60812.05647725357,60391.56534719275,420.4911300608219
355,2025-12-22,12,60726.339144452184,60632.04191281243,94.29723163975723
356,2025-12-23,12,60951.838639645255,60171.012666929615,780.8259727156401
357,2025-12-24,12,59578.23679632926,58950.77578733323,627.4610089960333
358,2025-12-25,12,60017.105129019445,59161.22182586641,855.8833031530376
359,2025-12-26,12,24980.28293712336,24758.37905822317,221.90387890018974
360,2025-12-27,12,25369.59764662246,24380.322935331475,989.2747112909856
361,2025-12-28,12,60836.79212372907,60362.83850060217,473.9536231269012
362,2025-12-29,12,59790.19927892572,59446.697595246,343.5016836797222
363,2025-12-30,12,59900.62728941095,59054.39864936839,846.2286400425583
364,2025-12-31,12,58796.42148835797,58577.431416590705,218.99007176726445
